"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2023-02-하","청양","368978","5971949890","462943","-20.3","2624025580","127.6","487488","-24.3","3426154628","74.3"
"2023-02-중","청양","413850","6345842960","450218","-8.1","2667269580","137.9","588227","-29.6","4391697132","44.5"
"2023-02-상","청양","437595","4705864100","449488","-2.6","2567333500","83.3","644379","-32.1","4960659054","-5.1"
"2023-01-하","청양","352880","3006315390","595379","-40.7","4370480900","-31.2","699276","-49.5","4398380167","-31.6"
"2023-01-중","청양","609055","3625050730","509330","19.6","3199404210","13.3","656457","-7.2","3509123964","3.3"
"2023-01-상","청양","527342","3358235990","495264","6.5","2691442930","24.8","814988","-35.3","3545860177","-5.3"
"2022-12-하","청양","634432","4009575250","620919","2.2","2275454320","76.2","792613","-20.0","2738444764","46.4"
"2022-12-중","청양","524927","2021954670","547836","-4.2","1816695690","11.3","711629","-26.2","2213703077","-8.7"
"2022-12-상","청양","628126","2227685650","571390","9.9","1994991075","11.7","713899","-12.0","2302481915","-3.2"
"2022-11-하","청양","721446","2426306110","571210","26.3","1794321630","35.2","720921","0.1","2316054516","4.8"
"2022-11-중","청양","563448","2107553900","627261","-10.2","2173524170","-3.0","723490","-22.1","2631053993","-19.9"
"2022-11-상","청양","637524","3072494770","576491","10.6","2298401050","33.7","662742","-3.8","2876989819","6.8"
"2022-10-하","청양","577743","2902505643","538461","7.3","2096138780","38.5","724374","-20.2","2693474272","7.8"
"2022-10-중","청양","643245","2746171100","659034","-2.4","1737492000","58.1","750107","-14.2","2221688970","23.6"
"2022-10-상","청양","622064","2714456170","551928","12.7","1116362860","143.2","780779","-20.3","2561906796","6.0"
"2022-09-하","청양","691852","2585829420","570517","21.3","837830870","208.6","837415","-17.4","2839912203","-8.9"
"2022-09-중","청양","537450","2321455695","679492","-20.9","1294189460","79.4","776350","-30.8","3134417399","-25.9"
"2022-09-상","청양","617376","3652536550","715431","-13.7","1404683410","160.0","765960","-19.4","2913599873","25.4"
"2022-08-하","청양","629345","2953395420","785068","-19.8","1305950600","126.1","821102","-23.4","2726224033","8.3"
"2022-08-중","청양","650241","2062477640","861595","-24.5","1569701020","31.4","752060","-13.5","2333369045","-11.6"
"2022-08-상","청양","628352","2287991006","600522","4.6","1587346420","44.1","722660","-13.1","2353803540","-2.8"
"2022-07-하","청양","620529","2717613545","619822","0.1","1738926825","56.3","700874","-11.5","2281449436","19.1"
"2022-07-중","청양","563921","3855856400","536589","5.1","1882414361","104.8","692276","-18.5","2346583715","64.3"
"2022-07-상","청양","503137","2792411843","671659","-25.1","2710430905","3.0","774837","-35.1","2277320452","22.6"
"2022-06-하","청양","695318","2597741670","837298","-17.0","2638771104","-1.6","882740","-21.2","2177557870","19.3"
"2022-06-중","청양","737288","2520391900","702369","5.0","2612029239","-3.5","891522","-17.3","2353650037","7.1"
"2022-06-상","청양","772848","2845613390","739929","4.4","2747733476","3.6","905267","-14.6","2305817384","23.4"
"2022-05-하","청양","780470","2506838500","813615","-4.1","2588944566","-3.2","985277","-20.8","2408368297","4.1"
"2022-05-중","청양","737163","2503819490","851084","-13.4","2021280785","23.9","896441","-17.8","1977625579","26.6"
"2022-05-상","청양","679955","1991742810","766559","-11.3","2408996279","-17.3","857392","-20.7","2243239696","-11.2"
"2022-04-하","청양","759635","1947469200","692599","9.7","1570271600","24.0","836502","-9.2","1396891763","39.4"
"2022-04-중","청양","697803","2241181550","747789","-6.7",,"0.0","868470","-19.7",,"0.0"
"2022-04-상","청양","594773","1758661100","750741","-20.8",,"0.0","840433","-29.2",,"0.0"
"2022-03-하","청양","755174","2272678250","671302","12.5","3370194632","-32.6","832874","-9.3","3575664940","-36.4"
"2022-03-중","청양","575896","1861672430","596726","-3.5","1461148317","27.4","697371","-17.4","1490634717","24.9"
"2022-03-상","청양","602142","3365277400","655007","-8.1",,"0.0","683017","-11.8",,"0.0"
"2022-02-하","청양","462943","2624025580","324636","42.6","2611804690","0.5","500948","-7.6","3097773322","-15.3"
"2022-02-중","청양","450218","2667269580","409502","9.9","3101218644","-14.0","601478","-25.1","4348604354","-38.7"
"2022-02-상","청양","449488","2567333500","655347","-31.4","5478471833","-53.1","651880","-31.0","4698763651","-45.4"
"2022-01-하","청양","595379","4370480900","532577","11.8","3555385020","22.9","724537","-17.8","3911344723","11.7"
"2022-01-중","청양","509330","3199404210","600432","-15.2","3052266975","4.8","687028","-25.9","3166712677","1.0"
"2022-01-상","청양","495264","2691442930","442285","12.0","1530689970","75.8","850078","-41.7","3161118676","-14.9"
"2021-12-하","청양","620919","2275454320","788660","-21.3","2657716280","-14.4","828644","-25.1","2713906454","-16.2"
"2021-12-중","청양","547836","1816695690","562581","-2.6","1524707430","19.2","728454","-24.8","2245783544","-19.1"
"2021-12-상","청양","571390","1994991075","648549","-11.9","1883161910","5.9","731032","-21.8","2413677957","-17.3"
"2021-11-하","청양","571210","1794321630","653008","-12.5","1893419040","-5.2","720248","-20.7","2452213540","-26.8"
"2021-11-중","청양","627261","2173524170","674621","-7.0","2454195967","-11.4","711714","-11.9","2764293875","-21.4"
"2021-11-상","청양","576491","2298401050","567536","1.6","2707701400","-15.1","657754","-12.4","2904054388","-20.9"
"2021-10-하","청양","538461","2096138780","662716","-18.7","3493259857","-40.0","756124","-28.8","2608900349","-19.7"
"2021-10-중","청양","659034","1737492000","582249","13.2","2666150050","-34.8","787951","-16.4","2372363182","-26.8"
"2021-10-상","청양","551928","1116362860","524817","5.2","2804701320","-60.2","811950","-32.0","2861899380","-61.0"
"2021-09-하","청양","570517","837830870","704954","-19.1","5731859107","-85.4","806865","-29.3","2990886476","-72.0"
"2021-09-중","청양","679492","1294189460","560405","21.3","3466520875","-62.7","766263","-11.3","3695176837","-65.0"
"2021-09-상","청양","715431","1404683410","617463","15.9","3114165392","-54.9","766984","-6.7","3270011049","-57.0"
"2021-08-하","청양","785068","1305950600","636920","23.3","2323540980","-43.8","786795","-0.2","2956321522","-55.8"
"2021-08-중","청양","861595","1569701020","637503","35.2","2080292381","-24.5","725201","18.8","2335796033","-32.8"
"2021-08-상","청양","600522","1587346420","505852","18.7","1787240772","-11.2","696538","-13.8","2285052380","-30.5"
"2021-07-하","청양","619822","1738926825","670588","-7.6","2220154220","-21.7","712315","-13.0","2283505443","-23.8"
"2021-07-중","청양","536589","1882414361","592681","-9.5","1928403446","-2.4","699915","-23.3","2373215163","-20.7"
"2021-07-상","청양","671659","2710430905","690674","-2.8","1859056070","45.8","777644","-13.6","2246549257","20.6"
"2021-06-하","청양","837298","2638771104","526387","59.1","1293855663","103.9","605573","38.3","1458031042","81.0"
"2021-06-중","청양","702369","2612029239",,"0.0",,"0.0",,"0.0",,"0.0"
"2021-06-상","청양","739929","2747733476",,"0.0",,"0.0",,"0.0",,"0.0"
"2021-05-하","청양","813615","2588944566","790800","2.9","1222357200","111.8","980055","-17.0","1753180070","47.7"
"2021-05-중","청양","851084","2021280785","824955","3.2",,"0.0","890361","-4.4",,"0.0"
"2021-05-상","청양","766559","2408996279","726319","5.5",,"0.0","845621","-9.3",,"0.0"
"2021-04-하","청양","692599","2185682553","710679","-2.5","1887361250","15.8","832971","-16.9","1958787207","11.6"
"2021-04-중","청양","747789","2069494248","726949","2.9","1721246300","20.2","859670","-13.0","2171547258","-4.7"
"2021-04-상","청양","750741","2550595723","737277","1.8","2076867180","22.8","825170","-9.0","2528948298","0.9"
"2021-03-하","청양","671302","3370194632","654838","2.5","3125567880","7.8","833584","-19.5","3409603466","-1.2"
"2021-03-중","청양","596726","3460911357","595345","0.2","3695893730","-6.4","692888","-13.9","3838318942","-9.8"
"2021-03-상","청양","655007","4455403531","525646","24.6","4031435160","10.5","658344","-0.5","4118388659","8.2"
"2021-02-하","청양","324636","2611804690","300470","8.0","4050392466","-35.5","433096","-25.0","2832271380","-7.8"
"2021-02-중","청양","409502","3101218644","504314","-18.8","4467400518","-30.6","607701","-32.6","4525837812","-31.5"
"2021-02-상","청양","655347","5478471833","420139","56.0","3743115710","46.4","600322","9.2","4767411916","14.9"
"2021-01-하","청양","532577","3555385020","418227","27.3","2495486610","42.5","702497","-24.2","4041767827","-12.0"
"2021-01-중","청양","600432","3052266975","569628","5.4","3517633250","-13.2","668445","-10.2","3482310082","-12.3"
"2021-01-상","청양","442285","1530689970","563739","-21.5","3490662570","-56.1","851948","-48.1","3873236861","-60.5"
"2020-12-하","청양","788661","2657716280","585520","34.7","3184606310","-16.5","815697","-3.3","3004762862","-11.5"
"2020-12-중","청양","562585","1524707430","580192","-3.0","2426316840","-37.2","729931","-22.9","2521782126","-39.5"
"2020-12-상","청양","648552","1883161910","561273","15.6","2307263690","-18.4","719375","-9.8","2642298351","-28.7"
"2020-11-하","청양","653008","1893419040","562670","16.1","2566189980","-26.2","701858","-7.0","2643789501","-28.4"
"2020-11-중","청양","674621","2454195967","608720","10.8","2847682485","-13.8","702760","-4.0","2624205844","-6.5"
"2020-11-상","청양","567536","2707701400","492904","15.1","2622934840","3.2","668097","-15.1","2629143791","3.0"
"2020-10-하","청양","662716","3493259857","661555","0.2","2425674140","44.0","779365","-15.0","2430951682","43.7"
"2020-10-중","청양","582249","2666150050","622876","-6.5","1808472250","47.4","828111","-29.7","2136131161","24.8"
"2020-10-상","청양","524817","2804701320","677579","-22.5","2221275930","26.3","821037","-36.1","2322300812","20.8"
"2020-09-하","청양","704954","5731859107","631554","11.6","1642166250","249.0","791285","-10.9","2513319721","128.1"
"2020-09-중","청양","560405","3466520875","530465","5.6","1505598105","130.2","809475","-30.8","3069603652","12.9"
"2020-09-상","청양","617463","3114165392","664511","-7.1","2258430560","37.9","816772","-24.4","2934846767","6.1"
"2020-08-하","청양","636920","2323540980","722968","-11.9","2465021626","-5.7","819842","-22.3","2809460381","-17.3"
"2020-08-중","청양","637503","2080292381","544225","17.1","2021950710","2.9","751479","-15.2","2128616842","-2.3"
"2020-08-상","청양","505852","1787240772","575757","-12.1","1690647195","5.7","700063","-27.7","2012089892","-11.2"
"2020-07-하","청양","670588","2220154220","596515","12.4","1929120475","15.1","711200","-5.7","2087652597","6.3"
"2020-07-중","청양","592681","1928403446","596658","-0.7","2231122535","-13.6","703486","-15.8","2308139556","-16.5"
"2020-07-상","청양","690674","1859056070","677615","1.9","1857959390","0.1","787199","-12.3","2198232226","-15.4"
"2020-06-하","청양","739622","1820462033","663270","11.5","1599646800","13.8","892784","-17.2","2127029266","-14.4"
"2020-06-중","청양","802061","1735999410","714553","12.2","2010580980","-13.7","899639","-10.8","2426747964","-28.5"
"2020-06-상","청양","858531","1976661650","718118","19.6","1745267620","13.3","886422","-3.1","2377849297","-16.9"
"2020-05-하","청양","790800","1778407880","818814","-3.4","2172384180","-18.1","971675","-18.6","2463029651","-27.8"
"2020-05-중","청양","824955","1834645080","652253","26.5","1661773350","10.4","897609","-8.1","2092816570","-12.3"
"2020-05-상","청양","726319","1570900160","647856","12.1","1911916700","-17.8","834264","-12.9","2507058551","-37.3"
"2020-04-하","청양","710679","1887361250","656573","8.2","1444734800","30.6","821122","-13.5","2043249354","-7.6"
"2020-04-중","청양","726949","1721246300","747167","-2.7","1859396450","-7.4","829188","-12.3","2264146905","-24.0"
"2020-04-상","청양","737277","2076867180","708124","4.1","2222401040","-6.5","815585","-9.6","2600102292","-20.1"
"2020-03-하","청양","654838","3125567880","674736","-2.9","2980350000","4.9","857023","-23.6","3532031209","-11.5"
"2020-03-중","청양","595347","3695893730","616400","-3.4","4065733850","-9.1","681657","-12.7","3887298808","-4.9"
"2020-03-상","청양","525648","4031435160","485939","8.2","4455891680","-9.5","649028","-19.0","4029708722","0.0"
"2020-02-하","청양","423452","5707875143","455771","-7.1","3839764270","48.7","594156","-28.7","3703313311","54.1"
"2020-02-중","청양","504314","4467400518","515991","-2.3","4179649700","6.9","614133","-17.9","4875203288","-8.4"
"2020-02-상","청양","420139","3743115710","288699","45.5","2137307650","75.1","603640","-30.4","5975621228","-37.4"
"2020-01-하","청양","418227","2495486610","679159","-38.4","4275038050","-41.6","688650","-39.3","5192399424","-51.9"
"2020-01-중","청양","569628","3517633250","477976","19.2","2604730000","35.0","625286","-8.9","3584672887","-1.9"
"2020-01-상","청양","563739","3490662570","522022","8.0","2852702210","22.4","843804","-33.2","3881842088","-10.1"
"2019-12-하","청양","585520","3184606310","394915","48.3","2104473076","51.3","516346","13.4","3394923407","-6.2"
"2019-12-중","청양","580192","2426316840",,"0.0","2289921980","6.0",,"0.0","2837842565","-14.5"
"2019-12-상","청양","561273","2307263690",,"0.0","2016465920","14.4",,"0.0","2735978137","-15.7"
"2019-11-하","청양","562670","2566189980","610515","-7.8","1906064810","34.6","696266","-19.2","2722270733","-5.7"
"2019-11-중","청양","608720","2847682485","519467","17.2","1764313880","61.4","700119","-13.1","2652908004","7.3"
"2019-11-상","청양","492904","2622934840","524957","-6.1","2122221860","23.6","675451","-27.0","2629143791","-0.2"
"2019-10-하","청양","661555","2425674140","457129","44.7","1860970140","30.3","767632","-13.8","2414477648","0.5"
"2019-10-중","청양","622876","1808472250","491829","26.6","1579881160","14.5","829544","-24.9","2075145115","-12.9"
"2019-10-상","청양","677579","2221275930","644467","5.1","1577770900","40.8","839268","-19.3","2092723054","6.1"
"2019-09-하","청양","631554","1642166250","350369","80.3","1398659520","17.4","795946","-20.7","2488562526","-34.0"
"2019-09-중","청양","530465","1505598105","648567","-18.2","2667146890","-43.6","834682","-36.4","3095884269","-51.4"
"2019-09-상","청양","664511","2258430560","649218","2.4","2046901970","10.3","808524","-17.8","3076449141","-26.6"
"2019-08-하","청양","722968","2465021626","712251","1.5","2231633320","10.5","830504","-12.9","2775960879","-11.2"
"2019-08-중","청양","544225","2021950710","636047","-14.4","1640443700","23.3","759969","-28.4","1923063145","5.1"
"2019-08-상","청양","575757","1690647195","549108","4.9","1776316114","-4.8","674280","-14.6","1824640172","-7.3"
"2019-07-하","청양","596519","1929120475","557376","7.0","1695028330","13.8","712330","-16.3","2051842350","-6.0"
"2019-07-중","청양","596668","2231122535","546857","9.1","1867906830","19.4","706188","-15.5","2199934486","1.4"
"2019-07-상","청양","677622","1857959390","611591","10.8","1723278660","7.8","789744","-14.2","2256878380","-17.7"
"2019-06-하","청양","663270","1599646800","697015","-4.8","1840190860","-13.1","880590","-24.7","2201112883","-27.3"
"2019-06-중","청양","714553","2010580980","800077","-10.7","2301202050","-12.6","902532","-20.8","2513373875","-20.0"
"2019-06-상","청양","718118","1745267620","596380","20.4","1770097180","-1.4","868023","-17.3","2401126843","-27.3"
"2019-05-하","청양","818814","2172384180","847298","-3.4","2092195470","3.8","994493","-17.7","2417473120","-10.1"
"2019-05-중","청양","652253","1661773350","633777","2.9","1523476190","9.1","920688","-29.2","2161669162","-23.1"
"2019-05-상","청양","647856","1911916700","680149","-4.7","1877079280","1.9","853686","-24.1","2532706555","-24.5"
"2019-04-하","청양","656573","1444734800","699793","-6.2","1587175830","-9.0","811539","-19.1","2200745534","-34.4"
"2019-04-중","청양","747167","1859396450","698470","7.0","2001562150","-7.1","812750","-8.1","2456068742","-24.3"
"2019-04-상","청양","708124","2222401040","650589","8.8","2203310800","0.9","798598","-11.3","2729049668","-18.6"
"2019-03-하","청양","674736","2980350000","671941","0.4","2901924250","2.7","849971","-20.6","3393975672","-12.2"
"2019-03-중","청양","616400","4065733850","530652","16.2","2512556380","61.8","675444","-8.7","3661540635","11.0"
"2019-03-상","청양","485939","4455891680","530901","-8.5","2365570290","88.4","641456","-24.2","3794774002","17.4"
"2019-02-하","청양","401976","3349831060","474753","-15.3","1659904400","101.8","526437","-23.6","2797280184","19.8"
"2019-02-중","청양","515991","4179649700","391277","31.9","2387780980","75.0","615698","-16.2","4030339564","3.7"
"2019-02-상","청양","288699","2137307650","567748","-49.2","4669288950","-54.2","626149","-53.9","5244908129","-59.2"
"2019-01-하","청양","679159","4275038050","570142","19.1","2844647010","50.3","697037","-2.6","4514659000","-5.3"
"2019-01-중","청양","477976","2604730000","606585","-21.2","2164555494","20.3","651014","-26.6","3306145538","-21.2"
"2019-01-상","청양","522022","2852702210","617572","-15.5","1831137300","55.8","849254","-38.5","3351094258","-14.9"
"2018-12-하","청양","591149","2104473076","741265","-20.3","1719507451","22.4","779233","-24.1","3240950082","-35.1"
"2018-12-중","청양","601170","2289921980","743875","-19.2","1637151520","39.9","678065","-11.3","2572815977","-11.0"
"2018-12-상","청양","520424","2016465920","673950","-22.8","1591151640","26.7","677550","-23.2","2577696843","-21.8"
"2018-11-하","청양","610515","1906064810","723679","-15.6","2046920667","-6.9","657992","-7.2","2699740332","-29.4"
"2018-11-중","청양","519467","1764313880","658093","-21.1","1938104325","-9.0","680432","-23.7","2618475964","-32.6"
"2018-11-상","청양","524957","2122221860","686647","-23.5","2378754650","-10.8","676583","-22.4","2597615213","-18.3"
"2018-10-하","청양","457129","1860970140","702021","-34.9","2266675764","-17.9","771569","-40.8","2280637686","-18.4"
"2018-10-중","청양","491829","1579881160","833864","-41.0","2029193451","-22.1","830064","-40.7","1998884515","-21.0"
"2018-10-상","청양","644467","1577770900","516249","24.8","1995586060","-20.9","850440","-24.2","2037975610","-22.6"
"2018-09-하","청양","350369","1398659520","799059","-56.2","2667110559","-47.6","813584","-56.9","2241934287","-37.6"
"2018-09-중","청양","648567","2667146890","698958","-7.2","3604659420","-26.0","833167","-22.2","2979345988","-10.5"
"2018-09-상","청양","649218","2046901970","548456","18.4","2878404626","-28.9","778791","-16.6","2934442655","-30.2"
"2018-08-하","청양","712251","2231633320","719273","-1.0","3675287386","-39.3","804581","-11.5","2585010933","-13.7"
"2018-08-중","청양","636047","1640443700","567589","12.1","2131999090","-23.1","728399","-12.7","1777264092","-7.7"
