"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®","±Ý¾×","Àü³â ¹ÝÀÔ·®","Àü³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Àü³â ±Ý¾×","Àü³â ±Ý¾× Áõ°¨·ü(%)","Æò³â ¹ÝÀÔ·®","Æò³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Æò³â ±Ý¾×","Æò³â ±Ý¾× Áõ°¨·ü(%)"
"2023-06-ÇÏ","±ñ¾çÆÄ","29760","49970000","40340","-26.2","59882000","-16.6","50677","-41.3","53821082","-7.2"
"2023-06-Áß","±ñ¾çÆÄ","24730","41424000","33980","-27.2","55483100","-25.3","49259","-49.8","55546365","-25.4"
"2023-06-»ó","±ñ¾çÆÄ","29050","52037000","45150","-35.7","65801000","-20.9","50759","-42.8","51290555","1.5"
"2023-05-ÇÏ","±ñ¾çÆÄ","24080","43494000","66710","-63.9","70740000","-38.5","44240","-45.6","45881814","-5.2"
"2023-05-Áß","±ñ¾çÆÄ","26450","47019000","58270","-54.6","54987700","-14.5","41841","-36.8","53865500","-12.7"
"2023-05-»ó","±ñ¾çÆÄ","31220","56717500","40050","-22.0","41884700","35.4","37929","-17.7","50606090","12.1"
"2023-04-ÇÏ","±ñ¾çÆÄ","35270","66445500","31350","12.5","32871200","102.1","34389","2.6","42418348","56.6"
"2023-04-Áß","±ñ¾çÆÄ","55410","130863500","30820","79.8","26151150","400.4","32888","68.5","46827180","179.5"
"2023-04-»ó","±ñ¾çÆÄ","43050","94529500","16840","155.6","14575800","548.5","27167","58.5","46452000","103.5"
"2023-03-ÇÏ","±ñ¾çÆÄ","50220","112680500","24950","101.3","21959500","413.1","35679","40.8","47229873","138.6"
"2023-03-Áß","±ñ¾çÆÄ","34790","85893500","31900","9.1","27710000","210.0","44364","-21.6","57071461","50.5"
"2023-03-»ó","±ñ¾çÆÄ","40360","99482000","39790","1.4","31691000","213.9","43367","-6.9","62223135","59.9"
"2023-02-ÇÏ","±ñ¾çÆÄ","34770","78186000","23340","49.0","18940000","312.8","33893","2.6","41602760","87.9"
"2023-02-Áß","±ñ¾çÆÄ","35420","75677000","18030","96.5","18132000","317.4","48550","-27.0","64046760","18.2"
"2023-02-»ó","±ñ¾çÆÄ","37850","79595000","16200","133.6","17428000","356.7","45146","-16.2","59382937","34.0"
"2023-01-ÇÏ","±ñ¾çÆÄ","28950","60749000","29950","-3.3","32658000","86.0","53002","-45.4","67116732","-9.5"
"2023-01-Áß","±ñ¾çÆÄ","47300","99958500","27930","69.4","31387000","218.5","47034","0.6","60214647","66.0"
"2023-01-»ó","±ñ¾çÆÄ","42130","87822500","23040","82.9","27636000","217.8","45386","-7.2","59359829","47.9"
"2022-12-ÇÏ","±ñ¾çÆÄ","56330","115460500","39340","43.2","48763000","136.8","41238","36.6","57587866","100.5"
"2022-12-Áß","±ñ¾çÆÄ","44870","91023500","28180","59.2","36250500","151.1","33360","34.5","46987872","93.7"
"2022-12-»ó","±ñ¾çÆÄ","50830","100764500","39350","29.2","51204000","96.8","36769","38.2","51974271","93.9"
"2022-11-ÇÏ","±ñ¾çÆÄ","45500","92749000","35860","26.9","47677000","94.5","40700","11.8","52914963","75.3"
"2022-11-Áß","±ñ¾çÆÄ","30410","63265000","36880","-17.5","49995000","26.5","40298","-24.5","49076749","28.9"
"2022-11-»ó","±ñ¾çÆÄ","39950","81105000","32080","24.5","43915000","84.7","39994","-0.1","45016157","80.2"
"2022-10-ÇÏ","±ñ¾çÆÄ","42320","89124000","30520","38.7","41469000","114.9","43325","-2.3","44815524","98.9"
"2022-10-Áß","±ñ¾çÆÄ","46230","94886700","37060","24.7","47580000","99.4","41986","10.1","44327240","114.1"
"2022-10-»ó","±ñ¾çÆÄ","41740","82439000","37820","10.4","48505000","70.0","47277","-11.7","52777899","56.2"
"2022-09-ÇÏ","±ñ¾çÆÄ","33330","65720000","32050","4.0","40851000","60.9","49922","-33.2","53039358","23.9"
"2022-09-Áß","±ñ¾çÆÄ","17230","35148600","34500","-50.1","43976000","-20.1","47116","-63.4","52057643","-32.5"
"2022-09-»ó","±ñ¾çÆÄ","28640","55149500","28280","1.3","35928000","53.5","35626","-19.6","39705756","38.9"
"2022-08-ÇÏ","±ñ¾çÆÄ","22000","42044500","28970","-24.1","35715800","17.7","38513","-42.9","42640098","-1.4"
"2022-08-Áß","±ñ¾çÆÄ","21810","42185000","37330","-41.6","43044100","-2.0","44898","-51.4","43203441","-2.4"
"2022-08-»ó","±ñ¾çÆÄ","25560","50196000","30090","-15.1","30616900","63.9","47328","-46.0","42711367","17.5"
"2022-07-ÇÏ","±ñ¾çÆÄ","20480","39882000","35940","-43.0","36527000","9.2","46921","-56.4","39820234","0.2"
"2022-07-Áß","±ñ¾çÆÄ","23260","45225000","24190","-3.8","24562000","84.1","39400","-41.0","36354519","24.4"
"2022-07-»ó","±ñ¾çÆÄ","20710","35536000","36645","-43.5","36751000","-3.3","40083","-48.3","36866421","-3.6"
"2022-06-ÇÏ","±ñ¾çÆÄ","40340","59882000","36155","11.6","35769000","67.4","43387","-7.0","39908661","50.0"
"2022-06-Áß","±ñ¾çÆÄ","33980","55483100","33035","2.9","30825100","80.0","39569","-14.1","38079500","45.7"
"2022-06-»ó","±ñ¾çÆÄ","45150","65801000","22990","96.4","19802400","232.3","39611","14.0","36861000","78.5"
"2022-05-ÇÏ","±ñ¾çÆÄ","66710","70740000","24970","167.2","22793600","210.4","34684","92.3","35834436","97.4"
"2022-05-Áß","±ñ¾çÆÄ","58270","54987700","26910","116.5","24930000","120.6","31085","87.5","38036660","44.6"
"2022-05-»ó","±ñ¾çÆÄ","40050","41884700","22190","80.5","27103800","54.5","31075","28.9","39318555","6.5"
"2022-04-ÇÏ","±ñ¾çÆÄ","31350","32871200","22520","39.2","22032000","49.2","31425","-0.2","29521973","11.3"
"2022-04-Áß","±ñ¾çÆÄ","30820","26151150","27790","10.9",,"0.0","29540","4.3",,"0.0"
"2022-04-»ó","±ñ¾çÆÄ","16840","14575800","22670","-25.7",,"0.0","24527","-31.3",,"0.0"
"2022-03-ÇÏ","±ñ¾çÆÄ","24950","21959500","21070","18.4","51801000","-57.6","32207","-22.5","45479219","-51.7"
"2022-03-Áß","±ñ¾çÆÄ","31900","27710000","31700","0.6","37220800","-25.6","37698","-15.4","21518576","28.8"
"2022-03-»ó","±ñ¾çÆÄ","39790","31691000","23530","69.1",,"0.0","35835","11.0",,"0.0"
"2022-02-ÇÏ","±ñ¾çÆÄ","23340","18940000","16020","45.7","39740700","-52.3","31479","-25.9","41456360","-54.3"
"2022-02-Áß","±ñ¾çÆÄ","18030","18132000","27750","-35.0","62732500","-71.1","47926","-62.4","64428361","-71.9"
"2022-02-»ó","±ñ¾çÆÄ","16200","17428000","34490","-53.0","72604300","-76.0","43558","-62.8","58302485","-70.1"
"2022-01-ÇÏ","±ñ¾çÆÄ","29950","32658000","26250","14.1","55469600","-41.1","50255","-40.4","66932462","-51.2"
"2022-01-Áß","±ñ¾çÆÄ","27930","31387000","39710","-29.7","80738500","-61.1","45148","-38.1","59342560","-47.1"
"2022-01-»ó","±ñ¾çÆÄ","23040","27636000","19670","17.1","34031000","-18.8","43462","-47.0","59054607","-53.2"
"2021-12-ÇÏ","±ñ¾çÆÄ","39340","48763000","34130","15.3","58021700","-16.0","40311","-2.4","55562146","-12.2"
"2021-12-Áß","±ñ¾çÆÄ","28180","36250500","22280","26.5","38015000","-4.6","33721","-16.4","44321161","-18.2"
"2021-12-»ó","±ñ¾çÆÄ","39350","51204000","27560","42.8","46007100","11.3","34002","15.7","45488657","12.6"
"2021-11-ÇÏ","±ñ¾çÆÄ","35860","47677000","30960","15.8","51359950","-7.2","33440","7.2","44491267","7.2"
"2021-11-Áß","±ñ¾çÆÄ","36880","49995000","40860","-9.7","68643700","-27.2","33589","9.8","41030182","21.8"
"2021-11-»ó","±ñ¾çÆÄ","32080","43915000","38590","-16.9","62265800","-29.5","35317","-9.2","39641723","10.8"
"2021-10-ÇÏ","±ñ¾çÆÄ","30520","41469000","51590","-40.8","78203000","-47.0","38354","-20.4","38446244","7.9"
"2021-10-Áß","±ñ¾çÆÄ","37060","47580000","58960","-37.1","89130600","-46.6","36208","2.4","36339706","30.9"
"2021-10-»ó","±ñ¾çÆÄ","37820","48505000","44730","-15.4","62079050","-21.9","39860","-5.1","42885997","13.1"
"2021-09-ÇÏ","±ñ¾çÆÄ","32050","40851000","54930","-41.7","73499700","-44.4","38995","-17.8","40248839","1.5"
"2021-09-Áß","±ñ¾çÆÄ","34500","43976000","43150","-20.0","53571200","-17.9","38932","-11.4","43272160","1.6"
"2021-09-»ó","±ñ¾çÆÄ","28280","35928000","38090","-25.8","43593350","-17.6","31410","-10.0","35574979","1.0"
"2021-08-ÇÏ","±ñ¾çÆÄ","28970","35715800","39190","-26.1","48921100","-27.0","32688","-11.4","36605168","-2.4"
"2021-08-Áß","±ñ¾çÆÄ","37330","43044100","52100","-28.3","65320500","-34.1","36299","2.8","35267804","22.0"
"2021-08-»ó","±ñ¾çÆÄ","30090","30616900","45440","-33.8","56955200","-46.2","40143","-25.0","34495093","-11.2"
"2021-07-ÇÏ","±ñ¾çÆÄ","35940","36527000","71710","-49.9","76303800","-52.1","38992","-7.8","31520062","15.9"
"2021-07-Áß","±ñ¾çÆÄ","24190","24562000","43848","-44.8","45979926","-46.6","34496","-29.9","30538520","-19.6"
"2021-07-»ó","±ñ¾çÆÄ","36645","36751000","47290","-22.5","47322600","-22.3","30790","19.0","28316553","29.8"
"2021-06-ÇÏ","±ñ¾çÆÄ","36155","35769000","40982","-11.8","46565434","-23.2","23418","54.4","22637714","58.0"
"2021-06-Áß","±ñ¾çÆÄ","33035","30825100",,"0.0",,"0.0",,"0.0",,"0.0"
"2021-06-»ó","±ñ¾çÆÄ","22990","19802400",,"0.0",,"0.0",,"0.0",,"0.0"
"2021-05-ÇÏ","±ñ¾çÆÄ","24970","22793600","39795","-37.3","30314700","-24.8","29032","-14.0","22858900","-0.3"
"2021-05-Áß","±ñ¾çÆÄ","26910","24930000","39200","-31.4",,"0.0","25565","5.3",,"0.0"
"2021-05-»ó","±ñ¾çÆÄ","22190","27103800","40340","-45.0",,"0.0","25638","-13.4",,"0.0"
"2021-04-ÇÏ","±ñ¾çÆÄ","22520","32729000","44990","-49.9","64133000","-49.0","31198","-27.8","39577381","-17.3"
"2021-04-Áß","±ñ¾çÆÄ","27790","50765000","27800","0.0","42170000","20.4","26762","3.8","37018915","37.1"
"2021-04-»ó","±ñ¾çÆÄ","22670","52002000","28400","-20.2","40716500","27.7","21996","3.1","31902368","63.0"
"2021-03-ÇÏ","±ñ¾çÆÄ","21070","51801000","41320","-49.0","55330100","-6.4","27967","-24.7","32651033","58.7"
"2021-03-Áß","±ñ¾çÆÄ","31700","73759800","50500","-37.2","65681600","12.3","30446","4.1","33716037","118.8"
"2021-03-»ó","±ñ¾çÆÄ","23530","61147900","42420","-44.5","62808000","-2.6","31577","-25.5","37302439","63.9"
"2021-02-ÇÏ","±ñ¾çÆÄ","16020","39740700","45000","-64.4","62602200","-36.5","29385","-45.5","35343668","12.4"
"2021-02-Áß","±ñ¾çÆÄ","27750","62732500","65700","-57.8","77275600","-18.8","38769","-28.4","45984639","36.4"
"2021-02-»ó","±ñ¾çÆÄ","34490","72604300","57680","-40.2","62621000","15.9","37263","-7.4","45503408","59.6"
"2021-01-ÇÏ","±ñ¾çÆÄ","26250","55469600","54890","-52.2","63871300","-13.2","46367","-43.4","55187234","0.5"
"2021-01-Áß","±ñ¾çÆÄ","39710","80738500","65780","-39.6","78935700","2.3","34821","14.0","39923408","102.2"
"2021-01-»ó","±ñ¾çÆÄ","19670","34031000","70570","-72.1","78460500","-56.6","35509","-44.6","43953241","-22.6"
"2020-12-ÇÏ","±ñ¾çÆÄ","34130","58021700","99476","-65.7","99316800","-41.6","27503","24.1","40379159","43.7"
"2020-12-Áß","±ñ¾çÆÄ","22280","38015000","83640","-73.4","81507300","-53.4","21170","5.2","33510706","13.4"
"2020-12-»ó","±ñ¾çÆÄ","27560","46007100","60440","-54.4","58912000","-21.9","18472","49.2","33859147","35.9"
"2020-11-ÇÏ","±ñ¾çÆÄ","30960","51359950","66840","-53.7","56046700","-8.4","25317","22.3","31115966","65.1"
"2020-11-Áß","±ñ¾çÆÄ","40860","68643700","63800","-36.0","49266800","39.3","22929","78.2","28996873","136.7"
"2020-11-»ó","±ñ¾çÆÄ","38590","62265800","52170","-26.0","38022700","63.8","24295","58.8","30312179","105.4"
"2020-10-ÇÏ","±ñ¾çÆÄ","51590","78203000","54650","-5.6","39713400","96.9","24685","109.0","30145440","159.4"
"2020-10-Áß","±ñ¾çÆÄ","58960","89130600","46390","27.1","32895900","170.9","21426","175.2","28352778","214.4"
"2020-10-»ó","±ñ¾çÆÄ","44730","62079050","47730","-6.3","33823200","83.5","26337","69.8","29058847","113.6"
"2020-09-ÇÏ","±ñ¾çÆÄ","54930","73499700","49680","10.6","35860400","105.0","24544","123.8","31319285","134.7"
"2020-09-Áß","±ñ¾çÆÄ","43150","53571200","39940","8.0","30041500","78.3","25212","71.1","32168732","66.5"
"2020-09-»ó","±ñ¾çÆÄ","38090","43593350","53005","-28.1","38610600","12.9","20432","86.4","27876969","56.4"
"2020-08-ÇÏ","±ñ¾çÆÄ","39190","48921100","65650","-40.3","45267200","8.1","23518","66.6","30259842","61.7"
"2020-08-Áß","±ñ¾çÆÄ","52100","65320500","54210","-3.9","37868200","72.5","25164","107.0","32275519","102.4"
"2020-08-»ó","±ñ¾çÆÄ","45440","56955200","57320","-20.7","39370900","44.7","23692","91.8","26374601","115.9"
"2020-07-ÇÏ","±ñ¾çÆÄ","71710","76303800","61750","16.1","35098700","117.4","20985","241.7","21768833","250.5"
"2020-07-Áß","±ñ¾çÆÄ","43848","45979926","63310","-30.7","38955300","18.0","19056","130.1","19957383","130.4"
"2020-07-»ó","±ñ¾çÆÄ","47290","47322600","53940","-12.3","35072800","34.9","17571","169.1","20113251","135.3"
"2020-06-ÇÏ","±ñ¾çÆÄ","50752","56101434","65750","-22.8","40549800","38.4","16298","211.4","19785266","183.6"
"2020-06-Áß","±ñ¾çÆÄ","47670","44580400","68160","-30.1","41497400","7.4","18189","162.1","21271109","109.6"
"2020-06-»ó","±ñ¾çÆÄ","49505","42871100","72770","-32.0","56103000","-23.6","19109","159.1","22510863","90.4"
"2020-05-ÇÏ","±ñ¾çÆÄ","39795","44528500","47990","-17.1","43418700","2.6","20311","95.9","24925065","78.6"
"2020-05-Áß","±ñ¾çÆÄ","39200","47808200","44270","-11.5","45147400","5.9","16835","132.8","19709850","142.6"
"2020-05-»ó","±ñ¾çÆÄ","40340","52467000","37035","8.9","43371400","21.0","17619","129.0","21640300","142.5"
"2020-04-ÇÏ","±ñ¾çÆÄ","44990","64133000","36120","24.6","45708150","40.3","26730","68.3","33973975","88.8"
"2020-04-Áß","±ñ¾çÆÄ","27800","42170000","31880","-12.8","40738000","3.5","24270","14.5","32195903","31.0"
"2020-04-»ó","±ñ¾çÆÄ","28400","40716500","42700","-33.5","40465700","0.6","16666","70.4","25432330","60.1"
"2020-03-ÇÏ","±ñ¾çÆÄ","41320","55330100","50000","-17.4","39314300","40.7","17331","138.4","23085345","139.7"
"2020-03-Áß","±ñ¾çÆÄ","50500","65681600","39475","27.9","31088600","111.3","18058","179.7","22975884","185.9"
"2020-03-»ó","±ñ¾çÆÄ","42420","62808000","35390","19.9","29289600","114.4","23177","83.0","27143285","131.4"
"2020-02-ÇÏ","±ñ¾çÆÄ","53730","76569300","45150","19.0","33601800","127.9","27701","94.0","37254860","105.5"
"2020-02-Áß","±ñ¾çÆÄ","65700","77275600","49630","32.4","40439300","91.1","29381","123.6","38697195","99.7"
"2020-02-»ó","±ñ¾çÆÄ","57680","62621000","22310","158.5","20970000","198.6","26197","120.2","35008874","78.9"
"2020-01-ÇÏ","±ñ¾çÆÄ","54890","63871300","47480","15.6","44666600","43.0","33337","64.7","40364735","58.2"
"2020-01-Áß","±ñ¾çÆÄ","65780","78935700","28750","128.8","27079200","191.5","22433","193.2","24843611","217.7"
"2020-01-»ó","±ñ¾çÆÄ","70570","78460500","33920","108.0","33652900","133.1","22634","211.8","30316844","158.8"
"2019-12-ÇÏ","±ñ¾çÆÄ","99476","99316800","24330","308.9","40445750","145.6","14333","594.0","33869410","193.2"
"2019-12-Áß","±ñ¾çÆÄ","83640","81507300",,"0.0","38553900","111.4",,"0.0","27634780","194.9"
"2019-12-»ó","±ñ¾çÆÄ","60440","58912000",,"0.0","36136400","63.0",,"0.0","27757730","112.2"
"2019-11-ÇÏ","±ñ¾çÆÄ","66840","56046700","34416","94.2","36691700","52.8","18665","258.1","26049355","115.2"
"2019-11-Áß","±ñ¾çÆÄ","63800","49266800","27770","129.7","31168500","58.1","17782","258.8","24792110","98.7"
"2019-11-»ó","±ñ¾çÆÄ","52170","38022700","31690","64.6","34357900","10.7","18345","184.4","25893760","46.8"
"2019-10-ÇÏ","±ñ¾çÆÄ","54650","39713400","29540","85.0","29393100","35.1","19547","179.6","26627060","49.1"
"2019-10-Áß","±ñ¾çÆÄ","46390","32895900","21470","116.1","25784500","27.6","18720","147.8","23736918","38.6"
"2019-10-»ó","±ñ¾çÆÄ","47730","33823200","22860","108.8","27775000","21.8","19482","145.0","25144670","34.5"
"2019-09-ÇÏ","±ñ¾çÆÄ","49680","35860400","14366","245.8","18020000","99.0","19852","150.3","26566614","35.0"
"2019-09-Áß","±ñ¾çÆÄ","39940","30041500","26100","53.0","32250000","-6.8","19400","105.9","26429525","13.7"
"2019-09-»ó","±ñ¾çÆÄ","53005","38610600","20870","154.0","25388000","52.1","17560","201.9","25848655","49.4"
"2019-08-ÇÏ","±ñ¾çÆÄ","65650","45267200","28740","128.4","31699700","42.8","19385","238.7","26273518","72.3"
"2019-08-Áß","±ñ¾çÆÄ","54210","37868200","24890","117.8","26044800","45.4","19005","185.2","24836955","52.5"
"2019-08-»ó","±ñ¾çÆÄ","57320","39370900","27185","110.9","26549100","48.3","19074","200.5","21806405","80.5"
"2019-07-ÇÏ","±ñ¾çÆÄ","61750","35098700","28700","115.2","28948500","21.2","13749","349.1","14740205","138.1"
"2019-07-Áß","±ñ¾çÆÄ","63310","38955300","28110","125.2","28802800","35.2","12683","399.2","13461400","189.4"
"2019-07-»ó","±ñ¾çÆÄ","53940","35072800","24150","123.4","25407000","38.0","11513","368.5","14655400","139.3"
"2019-06-ÇÏ","±ñ¾çÆÄ","65750","40549800","22570","191.3","24060200","68.5","11373","478.1","15725250","157.9"
"2019-06-Áß","±ñ¾çÆÄ","68160","41497400","23050","195.7","26504500","56.6","14756","361.9","18076460","129.6"
"2019-06-»ó","±ñ¾çÆÄ","72770","56103000","21010","246.4","22029800","154.7","12782","469.3","17979500","212.0"
"2019-05-ÇÏ","±ñ¾çÆÄ","47990","43418700","25300","89.7","28371750","53.0","13370","258.9","19203000","126.1"
"2019-05-Áß","±ñ¾çÆÄ","44270","45147400","17300","155.9","18164600","148.5","11320","291.1","15784000","186.0"
"2019-05-»ó","±ñ¾çÆÄ","37035","43371400","20950","76.8","24849500","74.5","11280","228.3","14588000","197.3"
"2019-04-ÇÏ","±ñ¾çÆÄ","36120","45708150","23210","55.6","28577500","59.9","24608","46.8","29527440","54.8"
"2019-04-Áß","±ñ¾çÆÄ","31880","40738000","21020","51.7","22747000","79.1","20640","54.5","25539850","59.5"
"2019-04-»ó","±ñ¾çÆÄ","42700","40465700","11200","281.3","14800000","173.4","13695","211.8","20045060","101.9"
"2019-03-ÇÏ","±ñ¾çÆÄ","50000","39314300","17600","184.1","21900000","79.5","14719","239.7","20568200","91.1"
"2019-03-Áß","±ñ¾çÆÄ","39475","31088600","25552","54.5","31216936","-0.4","11299","249.4","20074115","54.9"
"2019-03-»ó","±ñ¾çÆÄ","35390","29289600","27860","27.0","37234400","-21.3","12865","175.1","22371250","30.9"
"2019-02-ÇÏ","±ñ¾çÆÄ","40560","30025300","28920","40.2","42868000","-30.0","22218","82.6","35370970","-15.1"
"2019-02-Áß","±ñ¾çÆÄ","49630","40439300","28810","72.3","43556000","-7.2","19238","158.0","33259420","21.6"
"2019-02-»ó","±ñ¾çÆÄ","22310","20970000","34050","-34.5","53087500","-60.5","18294","22.0","31033370","-32.4"
"2019-01-ÇÏ","±ñ¾çÆÄ","47480","44666600","69190","-31.4","83555300","-46.5","21296","123.0","34057410","31.2"
"2019-01-Áß","±ñ¾çÆÄ","28750","27079200","36500","-21.2","45345700","-40.3","13821","108.0","16245470","66.7"
"2019-01-»ó","±ñ¾çÆÄ","33920","33652900","35905","-5.5","54917700","-38.7","11201","202.8","17571946","91.5"
"2018-12-ÇÏ","±ñ¾çÆÄ","39360","40445750","27712","42.0","41500000","-2.5","10896","261.2","20447900","97.8"
"2018-12-Áß","±ñ¾çÆÄ","38470","38553900","24880","54.6","35531800","8.5","13700","180.8","17234000","123.7"
"2018-12-»ó","±ñ¾çÆÄ","34340","36136400","21800","57.5","30440000","18.7","10710","220.6","18958800","90.6"
"2018-11-ÇÏ","±ñ¾çÆÄ","34416","36691700","22290","54.4","32983300","11.2","14360","139.7","17838800","105.7"
"2018-11-Áß","±ñ¾çÆÄ","27770","31168500","17400","59.6","26290000","18.6","14160","96.1","17122220","82.0"
