"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2023-04-상","열무(일반)","895354","912078480","676443","32.4","1568314750","-41.8","1067387","-16.1","1120051607","-18.6"
"2023-03-하","열무(일반)","898833","1311553950","660096","36.2","1681626630","-22.0","1024505","-12.3","1406433118","-6.7"
"2023-03-중","열무(일반)","594682","886763830","439139","35.4","1120280900","-20.8","836539","-28.9","932847048","-4.9"
"2023-03-상","열무(일반)","512245","880017570","417800","22.6","1035581050","-15.0","644442","-20.5","672462758","30.9"
"2023-02-하","열무(일반)","360227","630174750","273862","31.5","487192160","29.3","427683","-15.8","450519847","39.9"
"2023-02-중","열무(일반)","340975","662545860","222837","53.0","490336950","35.1","391418","-12.9","488938168","35.5"
"2023-02-상","열무(일반)","315780","555799980","167214","88.8","485544500","14.5","332586","-5.1","508942704","9.2"
"2023-01-하","열무(일반)","147664","323476760","224601","-34.3","513860750","-37.0","339295","-56.5","474531335","-31.8"
"2023-01-중","열무(일반)","216374","299989050","194457","11.3","359827350","-16.6","282646","-23.4","367999808","-18.5"
"2023-01-상","열무(일반)","178247","263423870","157492","13.2","239801320","9.9","267717","-33.4","336377071","-21.7"
"2022-12-하","열무(일반)","196804","245806100","184200","6.8","226918150","8.3","254009","-22.5","240118971","2.4"
"2022-12-중","열무(일반)","146728","142274300","154948","-5.3","179937250","-20.9","209212","-29.9","203169624","-30.0"
"2022-12-상","열무(일반)","195330","127406490","180030","8.5","211215650","-39.7","217289","-10.1","187904349","-32.2"
"2022-11-하","열무(일반)","222015","114869650","169491","31.0","166621350","-31.1","258055","-14.0","192838227","-40.4"
"2022-11-중","열무(일반)","258862","161988450","257619","0.5","272020350","-40.4","414980","-37.6","318832980","-49.2"
"2022-11-상","열무(일반)","480412","378836610","349782","37.3","495708280","-23.6","714909","-32.8","578899667","-34.6"
"2022-10-하","열무(일반)","658180","735123420","470999","39.7","843635080","-12.9","1011547","-34.9","893068898","-17.7"
"2022-10-중","열무(일반)","663174","811130210","608262","9.0","797660860","1.7","1037042","-36.1","857855958","-5.4"
"2022-10-상","열무(일반)","709177","739507630","611807","15.9","591284020","25.1","923228","-23.2","707529818","4.5"
"2022-09-하","열무(일반)","814767","1046166180","602779","35.2","445241210","135.0","1107648","-26.4","983473029","6.4"
"2022-09-중","열무(일반)","465661","591241860","653805","-28.8","1111743280","-46.8","1204484","-61.3","1435082826","-58.8"
"2022-09-상","열무(일반)","423683","873294810","745268","-43.2","1606030090","-45.6","1218659","-65.2","1860087407","-53.1"
"2022-08-하","열무(일반)","753995","1900259270","1029880","-26.8","1310064060","45.1","1511987","-50.1","2022420964","-6.0"
"2022-08-중","열무(일반)","657729","1943015090","1120577","-41.3","1428966210","36.0","1274682","-48.4","1949495017","-0.3"
"2022-08-상","열무(일반)","894973","1378063120","852875","4.9","1212358860","13.7","1158225","-22.7","2107753450","-34.6"
"2022-07-하","열무(일반)","1114119","1684118450","1070539","4.1","1758093910","-4.2","1378870","-19.2","1935038127","-13.0"
"2022-07-중","열무(일반)","852206","1652585085","887993","-4.0","1556714040","6.2","1379354","-38.2","1709777915","-3.3"
"2022-07-상","열무(일반)","533638","1635593660","997770","-46.5","1618110450","1.1","1361416","-60.8","1382585042","18.3"
"2022-06-하","열무(일반)","927563","2016649190","1044986","-11.2","1453630010","38.7","1465206","-36.7","1368901732","47.3"
"2022-06-중","열무(일반)","1003483","1170205010","880508","14.0","1107875530","5.6","1482596","-32.3","1207211674","-3.1"
"2022-06-상","열무(일반)","1180910","1392338390","1011211","16.8","1164787290","19.5","1533399","-23.0","1248833925","11.5"
"2022-05-하","열무(일반)","1186862","1296175090","1030702","15.2","1049214420","23.5","1505930","-21.2","1422807563","-8.9"
"2022-05-중","열무(일반)","1078545","1285886250","1085591","-0.6","1055564100","21.8","1465745","-26.4","983586302","30.7"
"2022-05-상","열무(일반)","1063276","1379410970","990883","7.3","1038762860","32.8","1489590","-28.6","1182158870","16.7"
"2022-04-하","열무(일반)","1179666","1264233670","1146355","2.9","754799460","67.5","1356320","-13.0","833266171","51.7"
"2022-04-중","열무(일반)","1150307","1382934570","917041","25.4",,"0.0","1234608","-6.8",,"0.0"
"2022-04-상","열무(일반)","676443","1568314750","964293","-29.9",,"0.0","1229593","-45.0",,"0.0"
"2022-03-하","열무(일반)","660096","1681626630","880194","-25.0","1034848550","62.5","1106536","-40.3","1291912344","30.2"
"2022-03-중","열무(일반)","439139","1120280900","785561","-44.1","378679900","195.8","916294","-52.1","402520083","178.3"
"2022-03-상","열무(일반)","417800","1035581050","553304","-24.5",,"0.0","717352","-41.8",,"0.0"
"2022-02-하","열무(일반)","273862","487192160","323852","-15.4","268699440","81.3","444049","-38.3","446743534","9.1"
"2022-02-중","열무(일반)","222837","490336950","273541","-18.5","353419300","38.7","451599","-50.7","436158754","12.4"
"2022-02-상","열무(일반)","167214","485544500","287788","-41.9","582235950","-16.6","381392","-56.2","439043427","10.6"
"2022-01-하","열무(일반)","224601","513860750","238990","-6.0","446169750","15.2","371542","-39.5","408640730","25.7"
"2022-01-중","열무(일반)","194457","359827350","235508","-17.4","292384020","23.1","298323","-34.8","330276045","8.9"
"2022-01-상","열무(일반)","157492","239801320","123442","27.6","123452400","94.2","302422","-47.9","315623411","-24.0"
"2021-12-하","열무(일반)","184200","226918150","209736","-12.2","131614600","72.4","287590","-36.0","252252020","-10.0"
"2021-12-중","열무(일반)","154948","179937250","120306","28.8","97565950","84.4","246658","-37.2","216485049","-16.9"
"2021-12-상","열무(일반)","180030","211215650","174222","3.3","122148600","72.9","244120","-26.3","192811593","9.5"
"2021-11-하","열무(일반)","169491","166621350","191710","-11.6","102161050","63.1","292679","-42.1","215813079","-22.8"
"2021-11-중","열무(일반)","257619","272020350","354708","-27.4","210136470","29.4","473986","-45.6","351017869","-22.5"
"2021-11-상","열무(일반)","349782","495708280","558000","-37.3","361253340","37.2","749395","-53.3","629503348","-21.3"
"2021-10-하","열무(일반)","470999","843635080","907638","-48.1","739318450","14.1","1108046","-57.5","873593114","-3.4"
"2021-10-중","열무(일반)","608262","797660860","877464","-30.7","808580360","-1.4","1138269","-46.6","987360260","-19.2"
"2021-10-상","열무(일반)","611807","591284020","618227","-1.0","488118970","21.1","1036564","-41.0","857708506","-31.1"
"2021-09-하","열무(일반)","602779","445241210","1003926","-40.0","1509474770","-70.5","1300551","-53.7","1004711839","-55.7"
"2021-09-중","열무(일반)","653805","1111743280","872837","-25.1","1835445460","-39.4","1440432","-54.6","1435680950","-22.6"
"2021-09-상","열무(일반)","745268","1606030090","923798","-19.3","1617228260","-0.7","1430379","-47.9","1985242074","-19.1"
"2021-08-하","열무(일반)","1029880","1310064060","884651","16.4","1768407670","-25.9","1633205","-36.9","2282740112","-42.6"
"2021-08-중","열무(일반)","1120577","1428966210","685006","63.6","1724453860","-17.1","1444319","-22.4","2047467484","-30.2"
"2021-08-상","열무(일반)","852875","1212358860","689303","23.7","1186816830","2.2","1225107","-30.4","2128844405","-43.1"
"2021-07-하","열무(일반)","1070539","1758093910","1332880","-19.7","1067227940","64.7","1507302","-29.0","1931265240","-9.0"
"2021-07-중","열무(일반)","887993","1556714040","1170449","-24.1","900121470","72.9","1436458","-38.2","1720171016","-9.5"
"2021-07-상","열무(일반)","997770","1618110450","1163611","-14.3","1309553710","23.6","1423915","-29.9","1395455537","16.0"
"2021-06-하","열무(일반)","1044986","1453630010","779138","34.1","1002592460","45.0","1116099","-6.4","1014540576","43.3"
"2021-06-중","열무(일반)","880508","1107875530",,"0.0",,"0.0",,"0.0",,"0.0"
"2021-06-상","열무(일반)","1011211","1164787290",,"0.0",,"0.0",,"0.0",,"0.0"
"2021-05-하","열무(일반)","1030702","1049214420","1180499","-12.7","921067050","13.9","1628996","-36.7","1064311863","-1.4"
"2021-05-중","열무(일반)","1085591","1055564100","1229912","-11.7",,"0.0","1550423","-30.0",,"0.0"
"2021-05-상","열무(일반)","990883","1038762860","1115369","-11.2",,"0.0","1513221","-34.5",,"0.0"
"2021-04-하","열무(일반)","1146355","1160107400","1170776","-2.1","1043879790","11.1","1392031","-17.6","1210647686","-4.2"
"2021-04-중","열무(일반)","917041","1041761600","1029523","-10.9","881520590","18.2","1332405","-31.2","1171359204","-11.1"
"2021-04-상","열무(일반)","964293","1062444980","1033317","-6.7","996131790","6.7","1289999","-25.2","1165659617","-8.9"
"2021-03-하","열무(일반)","880194","1034848550","933360","-5.7","1138133830","-9.1","1149944","-23.5","1418716925","-27.1"
"2021-03-중","열무(일반)","785561","811332450","681299","15.3","909065670","-10.8","921215","-14.7","1036280810","-21.7"
"2021-03-상","열무(일반)","553304","546128950","519096","6.6","697065835","-21.7","789590","-29.9","808855347","-32.5"
"2021-02-하","열무(일반)","323852","268699440","336836","-3.9","377760450","-28.9","403656","-19.8","385450448","-30.3"
"2021-02-중","열무(일반)","273541","353419300","426446","-35.9","444537870","-20.5","479277","-42.9","429829392","-17.8"
"2021-02-상","열무(일반)","287788","582235950","316778","-9.2","285561800","103.9","390856","-26.4","406838606","43.1"
"2021-01-하","열무(일반)","238990","446169750","274000","-12.8","311395600","43.3","377049","-36.6","373846631","19.3"
"2021-01-중","열무(일반)","235508","292384020","246005","-4.3","305545730","-4.3","298130","-21.0","327164756","-10.6"
"2021-01-상","열무(일반)","123442","123452400","196983","-37.3","266413300","-53.7","302572","-59.2","393893002","-68.7"
"2020-12-하","열무(일반)","209736","131614600","234739","-10.7","199616750","-34.1","285309","-26.5","335844797","-60.8"
"2020-12-중","열무(일반)","120306","97565950","235426","-48.9","175263130","-44.3","239890","-49.8","266429523","-63.4"
"2020-12-상","열무(일반)","174222","122148600","202930","-14.1","126728600","-3.6","244146","-28.6","255761774","-52.2"
"2020-11-하","열무(일반)","191710","102161050","223732","-14.3","124826860","-18.2","297773","-35.6","279077319","-63.4"
"2020-11-중","열무(일반)","354708","210136470","373834","-5.1","276551270","-24.0","460686","-23.0","387128849","-45.7"
"2020-11-상","열무(일반)","558000","361253340","619897","-10.0","575082010","-37.2","745021","-25.1","631462022","-42.8"
"2020-10-하","열무(일반)","907638","739318450","1164626","-22.1","1113912370","-33.6","1077656","-15.8","830572868","-11.0"
"2020-10-중","열무(일반)","877464","808580360","759107","15.6","1295636180","-37.6","1088494","-19.4","889853975","-9.1"
"2020-10-상","열무(일반)","618227","488118970","748030","-17.4","1207392330","-59.6","997259","-38.0","767696475","-36.4"
"2020-09-하","열무(일반)","1003926","1509474770","740213","35.6","934740640","61.5","1246485","-19.5","868636806","73.8"
"2020-09-중","열무(일반)","872837","1835445460","523760","66.6","914455210","100.7","1512900","-42.3","1269228549","44.6"
"2020-09-상","열무(일반)","923798","1617228260","1044803","-11.6","1131622830","42.9","1527467","-39.5","1806887995","-10.5"
"2020-08-하","열무(일반)","884651","1768407670","1432465","-38.2","1514728150","16.7","1756122","-49.6","2119574744","-16.6"
"2020-08-중","열무(일반)","685006","1724453860","907986","-24.6","1485605180","16.1","1629813","-58.0","1982733795","-13.0"
"2020-08-상","열무(일반)","689303","1186816830","800849","-13.9","1822373640","-34.9","1329473","-48.2","2145664865","-44.7"
"2020-07-하","열무(일반)","1332880","1067227940","1050297","26.9","1405517510","-24.1","1561931","-14.7","1931265240","-44.7"
"2020-07-중","열무(일반)","1170449","900121470","1313082","-10.9","1049137960","-14.2","1479965","-20.9","1728836812","-47.9"
"2020-07-상","열무(일반)","1163611","1309553710","1270847","-8.4","1146150180","14.3","1480336","-21.4","1336886478","-2.0"
"2020-06-하","열무(일반)","1073002","1335037760","1061453","1.1","1084809550","23.1","1725557","-37.8","1355211737","-1.5"
"2020-06-중","열무(일반)","1202426","1549754510","1235111","-2.6","1073107620","44.4","1660028","-27.6","1174284533","32.0"
"2020-06-상","열무(일반)","1184447","1392673720","1137397","4.1","1017255990","36.9","1719882","-31.1","1191509418","16.9"
"2020-05-하","열무(일반)","1180499","1287725870","1390132","-15.1","1114825610","15.5","1719614","-31.4","1463190595","-12.0"
"2020-05-중","열무(일반)","1229912","938208480","1199159","2.6","748844930","25.3","1629833","-24.5","1083951270","-13.4"
"2020-05-상","열무(일반)","1115369","963874690","1279530","-12.8","980249850","-1.7","1608883","-30.7","1234235507","-21.9"
"2020-04-하","열무(일반)","1170776","1043879790","1120012","4.5","520112840","100.7","1394616","-16.1","1347810943","-22.5"
"2020-04-중","열무(일반)","1029523","881520590","1049223","-1.9","760324590","15.9","1303290","-21.0","1240607621","-28.9"
"2020-04-상","열무(일반)","1033317","996131790","860700","20.1","959926300","3.8","1396901","-26.0","1128946220","-11.8"
"2020-03-하","열무(일반)","933360","1138133830","748672","24.7","802442670","41.8","1234061","-24.4","1397018521","-18.5"
"2020-03-중","열무(일반)","681299","909065670","759624","-10.3","706784380","28.6","967723","-29.6","1007634601","-9.8"
"2020-03-상","열무(일반)","519096","697065835","662067","-21.6","558928470","24.7","812252","-36.1","746692462","-6.6"
"2020-02-하","열무(일반)","442382","499329950","455970","-3.0","393160750","27.0","561610","-21.2","502409223","-0.6"
"2020-02-중","열무(일반)","426446","444537870","450595","-5.4","255480950","74.0","480805","-11.3","442069401","0.6"
"2020-02-상","열무(일반)","316778","285561800","165017","92.0","141493610","101.8","374128","-15.3","471871809","-39.5"
"2020-01-하","열무(일반)","274000","311395600","385324","-28.9","289052880","7.7","362770","-24.5","416406236","-25.2"
"2020-01-중","열무(일반)","246005","305545730","225482","9.1","170092880","79.6","278065","-11.5","331955566","-8.0"
"2020-01-상","열무(일반)","196983","266413300","215041","-8.4","189637950","40.5","296265","-33.5","365660342","-27.1"
"2019-12-하","열무(일반)","234739","199616750","157870","48.7","179010320","11.5","192745","21.8","361052466","-44.7"
"2019-12-중","열무(일반)","235426","175263130",,"0.0","179940040","-2.6",,"0.0","266310134","-34.2"
"2019-12-상","열무(일반)","202930","126728600",,"0.0","148325900","-14.6",,"0.0","257537781","-50.8"
"2019-11-하","열무(일반)","223732","124826860","280770","-20.3","186786900","-33.2","314799","-28.9","280658651","-55.5"
"2019-11-중","열무(일반)","373834","276551270","427933","-12.6","287894120","-3.9","444365","-15.9","383361658","-27.9"
"2019-11-상","열무(일반)","619897","575082010","605994","2.3","488196460","17.8","647389","-4.2","578342492","-0.6"
"2019-10-하","열무(일반)","1164626","1113912370","777295","49.8","608913110","82.9","912181","27.7","705403943","57.9"
"2019-10-중","열무(일반)","759107","1295636180","961575","-21.1","622550650","108.1","1015705","-25.3","707113469","83.2"
"2019-10-상","열무(일반)","748030","1207392330","1038679","-28.0","520743410","131.9","1023610","-26.9","590954751","104.3"
"2019-09-하","열무(일반)","740213","934740640","575828","28.5","395868770","136.1","1354148","-45.3","766365428","22.0"
"2019-09-중","열무(일반)","523760","914455210","1449953","-63.9","1254464070","-27.1","1596631","-67.2","1098306759","-16.7"
"2019-09-상","열무(일반)","1044803","1131622830","1039579","0.5","1791645080","-36.8","1586602","-34.1","1772012975","-36.1"
"2019-08-하","열무(일반)","1432465","1514728150","1539902","-7.0","2088831810","-27.5","1832791","-21.8","2124835826","-28.7"
"2019-08-중","열무(일반)","907986","1485605180","1135121","-20.0","2171856165","-31.6","1759308","-48.4","1891324508","-21.5"
"2019-08-상","열무(일반)","800849","1822373640","1201263","-33.3","1792338850","1.7","1448752","-44.7","1894425377","-3.8"
"2019-07-하","열무(일반)","1050298","1405517510","1462965","-28.2","1724197030","-18.5","1717361","-38.8","1838794062","-23.6"
"2019-07-중","열무(일반)","1313082","1049137960","1248874","5.1","1893895390","-44.6","1567760","-16.2","1789646602","-41.4"
"2019-07-상","열무(일반)","1270847","1146150180","1075409","18.2","1091010280","5.1","1534610","-17.2","1367696627","-16.2"
"2019-06-하","열무(일반)","1061453","1084809550","1510551","-29.7","1126694350","-3.7","1725557","-38.5","1295423943","-16.3"
"2019-06-중","열무(일반)","1235111","1073107620","1441274","-14.3","798464400","34.4","1660028","-25.6","1109614795","-3.3"
"2019-06-상","열무(일반)","1137397","1017255990","1323319","-14.0","935706210","8.7","1722454","-34.0","1117868411","-9.0"
"2019-05-하","열무(일반)","1390132","1114825610","1426568","-2.6","1351733830","-17.5","1803101","-22.9","1439624533","-22.6"
"2019-05-중","열무(일반)","1199159","748844930","1215872","-1.4","780438040","-4.0","1670824","-28.2","1102756350","-32.1"
"2019-05-상","열무(일반)","1279530","980249850","1491781","-14.2","1195306180","-18.0","1604170","-20.2","1221905878","-19.8"
"2019-04-하","열무(일반)","1120012","520112840","1070552","4.6","1207591000","-56.9","1420076","-21.1","1347810943","-61.4"
"2019-04-중","열무(일반)","1049223","760324590","1068067","-1.8","1326916860","-42.7","1380915","-24.0","1284491606","-40.8"
"2019-04-상","열무(일반)","860700","959926300","1208948","-28.8","973260070","-1.4","1454483","-40.8","1120143396","-14.3"
"2019-03-하","열무(일반)","748672","802442670","1001335","-25.2","1435699990","-44.1","1366959","-45.2","1397018521","-42.6"
"2019-03-중","열무(일반)","759624","706784380","837502","-9.3","768247910","-8.0","1029913","-26.2","1006628665","-29.8"
"2019-03-상","열무(일반)","662067","558928470","633948","4.4","519856700","7.5","840315","-21.2","736832531","-24.1"
"2019-02-하","열무(일반)","389738","325935000","387902","0.5","408663500","-20.2","538172","-27.6","441220272","-26.1"
"2019-02-중","열무(일반)","450595","255480950","207346","117.3","285454860","-10.5","498221","-9.6","437799090","-41.6"
"2019-02-상","열무(일반)","165017","141493610","340226","-51.5","502172340","-71.8","387738","-57.4","469639516","-69.9"
"2019-01-하","열무(일반)","385324","289052880","305345","26.2","452802406","-36.2","359028","7.3","416102855","-30.5"
"2019-01-중","열무(일반)","225482","170092880","264574","-14.8","409546525","-58.5","286743","-21.4","331955566","-48.8"
"2019-01-상","열무(일반)","215041","189637950","230331","-6.6","359041273","-47.2","309144","-30.4","351689984","-46.1"
"2018-12-하","열무(일반)","232888","179010320","236400","-1.5","399678851","-55.2","281344","-17.2","359831010","-50.3"
"2018-12-중","열무(일반)","239633","179940040","206764","15.9","301380082","-40.3","239214","0.2","265006240","-32.1"
"2018-12-상","열무(일반)","181808","148325900","200214","-9.2","277577997","-46.6","237848","-23.6","249415920","-40.5"
"2018-11-하","열무(일반)","280770","186786900","259385","8.2","432086420","-56.8","292025","-3.9","284464533","-34.3"
"2018-11-중","열무(일반)","427933","287894120","373826","14.5","317664558","-9.4","384233","11.4","366635385","-21.5"
"2018-11-상","열무(일반)","605994","488196460","715147","-15.3","584089568","-16.4","558403","8.5","520183171","-6.1"
"2018-10-하","열무(일반)","777295","608913110","927631","-16.2","695873206","-12.5","814447","-4.6","646280976","-5.8"
"2018-10-중","열무(일반)","961575","622550650","1085842","-11.4","619383684","0.5","880618","9.2","645646721","-3.6"
"2018-10-상","열무(일반)","1038679","520743410","459107","126.2","300318644","73.4","948056","9.6","532323433","-2.2"
"2018-09-하","열무(일반)","575828","395868770","1412575","-59.2","798488377","-50.4","1371274","-58.0","704697066","-43.8"
"2018-09-중","열무(일반)","1449953","1254464070","1451678","-0.1","1168493854","7.4","1507255","-3.8","945911626","32.6"
"2018-09-상","열무(일반)","1039579","1791645080","1443912","-28.0","1464344816","22.4","1617328","-35.7","1602845212","11.8"
"2018-08-하","열무(일반)","1539902","2088831810","1749122","-12.0","2107920455","-0.9","1899154","-18.9","2025538541","3.1"
"2018-08-중","열무(일반)","1135121","2171856165","1490307","-23.8","1615060816","34.5","1769712","-35.9","1829505327","18.7"
"2018-08-상","열무(일반)","1201263","1792338850","1114249","7.8","2346421735","-23.6","1376978","-12.8","1646577726","8.9"
"2018-07-하","열무(일반)","1462965","1724197030","1101110","32.9","2298058203","-25.0","1589360","-8.0","1650808043","4.4"
"2018-07-중","열무(일반)","1248874","1893895390","1167542","7.0","1765355337","7.3","1534918","-18.6","1515407116","25.0"
"2018-07-상","열무(일반)","1075409","1091010280","1211606","-11.2","882485470","23.6","1555739","-30.9","1267696944","-13.9"
"2018-06-하","열무(일반)","1510551","1126694350","1629071","-7.3","982685529","14.7","1689676","-10.6","1276877828","-11.8"
"2018-06-중","열무(일반)","1441274","798464400","1300411","10.8","983184751","-18.8","1626303","-11.4","1226949219","-34.9"
"2018-06-상","열무(일반)","1323319","935706210","1521308","-13.0","990772995","-5.6","1672991","-20.9","1101174093","-15.0"
"2018-05-하","열무(일반)","1426568","1351733830","1511179","-5.6","1217612428","11.0","1806307","-21.0","1204252343","12.2"
"2018-05-중","열무(일반)","1215872","780438040","1517253","-19.9","818608781","-4.7","1669747","-27.2","1053631774","-25.9"
"2018-05-상","열무(일반)","1491781","1195306180","1605882","-7.1","902614524","32.4","1622006","-8.0","1106910118","8.0"
"2018-04-하","열무(일반)","1070552","1207591000","1310781","-18.3","787557171","53.3","1444507","-25.9","1191742902","1.3"
"2018-04-중","열무(일반)","1068067","1326916860","1600965","-33.3","899064175","47.6","1388055","-23.1","1197901736","10.8"
"2018-04-상","열무(일반)","1208948","973260070","1243418","-2.8","855337284","13.8","1380348","-12.4","1147929130","-15.2"
"2018-03-하","열무(일반)","1001335","1435699990","1294191","-22.6","1220347326","17.6","1390587","-28.0","1291210046","11.2"
"2018-03-중","열무(일반)","837502","768247910","830829","0.8","931400390","-17.5","1055864","-20.7","1013217130","-24.2"
"2018-03-상","열무(일반)","633948","519856700","831629","-23.8","875351932","-40.6","874269","-27.5","764504676","-32.0"
