"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®","±Ý¾×","Àü³â ¹ÝÀÔ·®","Àü³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Àü³â ±Ý¾×","Àü³â ±Ý¾× Áõ°¨·ü(%)","Æò³â ¹ÝÀÔ·®","Æò³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Æò³â ±Ý¾×","Æò³â ±Ý¾× Áõ°¨·ü(%)"
"2019-11-Áß","±ñ¸¶´Ã(¼öÀÔ)","19440","33052000","22300","-12.8","35680000","-7.4","21611","-10.0","52411834","-36.9"
"2019-11-»ó","±ñ¸¶´Ã(¼öÀÔ)","16290","27885000","24600","-33.8","39360000","-29.2","21910","-25.7","57066832","-51.1"
"2019-10-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","21060","37068000","22200","-5.1","35520000","4.4","21909","-3.9","49637534","-25.3"
"2019-10-Áß","±ñ¸¶´Ã(¼öÀÔ)","16060","29184000","30600","-47.5","46680000","-37.5","18349","-12.5","40230798","-27.5"
"2019-10-»ó","±ñ¸¶´Ã(¼öÀÔ)","18030","32454000","24900","-27.6","39840000","-18.5","18557","-2.8","36959975","-12.2"
"2019-09-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","17510","31524000","13650","28.3","21840000","44.3","18512","-5.4","35929400","-12.3"
"2019-09-Áß","±ñ¸¶´Ã(¼öÀÔ)","11980","21564000","24600","-51.3","36660000","-41.2","19119","-37.3","35014000","-38.4"
"2019-09-»ó","±ñ¸¶´Ã(¼öÀÔ)","17020","30636000","22200","-23.3","31080000","-1.4","17126","-0.6","33732535","-9.2"
"2019-08-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","19980","35964000","27200","-26.5","35380000","1.7","17633","13.3","35000800","2.8"
"2019-08-Áß","±ñ¸¶´Ã(¼öÀÔ)","15800","28440000","22200","-28.8","26640000","6.8","17244","-8.4","33324800","-14.7"
"2019-08-»ó","±ñ¸¶´Ã(¼öÀÔ)","15450","27810000","21800","-29.1","26160000","6.3","16698","-7.5","31717632","-12.3"
"2019-07-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","17700","31860000","25100","-29.5","30120000","5.8","19956","-11.3","43105484","-26.1"
"2019-07-Áß","±ñ¸¶´Ã(¼öÀÔ)","17450","31410000","24700","-29.4","29640000","6.0","21884","-20.3","37006599","-15.1"
"2019-07-»ó","±ñ¸¶´Ã(¼öÀÔ)","18500","33300000","22000","-15.9","27480000","21.2","27752","-33.3","69305012","-52.0"
"2019-06-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","17150","30870000","22900","-25.1","32060000","-3.7","29825","-42.5","79094512","-61.0"
"2019-06-Áß","±ñ¸¶´Ã(¼öÀÔ)","19250","34650000","23200","-17.0","32480000","6.7","28698","-32.9","66825566","-48.1"
"2019-06-»ó","±ñ¸¶´Ã(¼öÀÔ)","17450","31410000","20400","-14.5","28560000","10.0","26425","-34.0","59457134","-47.2"
"2019-05-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","21300","38340000","25800","-17.4","36120000","6.1","29299","-27.3","71429167","-46.3"
"2019-05-Áß","±ñ¸¶´Ã(¼öÀÔ)","17400","31320000","20400","-14.7","29060000","7.8","25899","-32.8","66907901","-53.2"
"2019-05-»ó","±ñ¸¶´Ã(¼öÀÔ)","19250","34650000","22900","-15.9","34350000","0.9","26435","-27.2","71256718","-51.4"
"2019-04-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","17450","31410000","20600","-15.3","30900000","1.7","26569","-34.3","66519166","-52.8"
"2019-04-Áß","±ñ¸¶´Ã(¼öÀÔ)","19300","34740000","22000","-12.3","35480000","-2.1","25948","-25.6","67561834","-48.6"
"2019-04-»ó","±ñ¸¶´Ã(¼öÀÔ)","19600","32680000","19900","-1.5","33830000","-3.4","25622","-23.5","62701167","-47.9"
"2019-03-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","24650","39440000","24300","1.4","41310000","-4.5","24521","0.5","44758334","-11.9"
"2019-03-Áß","±ñ¸¶´Ã(¼öÀÔ)","24900","39840000","19700","26.4","33490000","19.0","26592","-6.4","60226533","-33.8"
"2019-03-»ó","±ñ¸¶´Ã(¼öÀÔ)","21900","33960000","21600","1.4","36720000","-7.5","27933","-21.6","66016532","-48.6"
"2019-02-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","19300","27020000","16500","17.0","28050000","-3.7","25701","-24.9","61096049","-55.8"
"2019-02-Áß","±ñ¸¶´Ã(¼öÀÔ)","25000","35000000","14300","74.8","24310000","44.0","27949","-10.6","65529100","-46.6"
"2019-02-»ó","±ñ¸¶´Ã(¼öÀÔ)","15650","21550000","18400","-14.9","31280000","-31.1","24659","-36.5","54404950","-60.4"
"2019-01-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","27800","38920000","18800","47.9","31960000","21.8","28561","-2.7","67881022","-42.7"
"2019-01-Áß","±ñ¸¶´Ã(¼öÀÔ)","21900","35040000","18400","19.0","31280000","12.0","26550","-17.5","63956916","-45.2"
"2019-01-»ó","±ñ¸¶´Ã(¼öÀÔ)","19300","30880000","14730","31.0","25041000","23.3","24274","-20.5","52526559","-41.2"
"2018-12-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","24980","39968000","16470","51.7","27999000","42.7","24798","0.7","51814179","-22.9"
"2018-12-Áß","±ñ¸¶´Ã(¼öÀÔ)","24700","39520000","20240","22.0","34632000","14.1","21881","12.9","43155134","-8.4"
"2018-12-»ó","±ñ¸¶´Ã(¼öÀÔ)","25300","39340000","16400","54.3","29520000","33.3","21573","17.3","44333133","-11.3"
"2018-11-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","24700","39520000","18500","33.5","33300000","18.7","22097","11.8","47084299","-16.1"
"2018-11-Áß","±ñ¸¶´Ã(¼öÀÔ)","22300","35680000","14300","55.9","25740000","38.6","22442","-0.6","49777167","-28.3"
"2018-11-»ó","±ñ¸¶´Ã(¼öÀÔ)","24600","39360000","14200","73.2","27010000","45.7","22040","11.6","53461267","-26.4"
"2018-10-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","22200","35520000","11710","89.6","21165000","67.8","21748","2.1","45291067","-21.6"
"2018-10-Áß","±ñ¸¶´Ã(¼öÀÔ)","30600","46680000","13080","133.9","26084000","79.0","17982","70.2","36666967","27.3"
"2018-10-»ó","±ñ¸¶´Ã(¼öÀÔ)","24900","39840000","5160","382.6","9288000","328.9","20378","22.2","35636509","11.8"
"2018-09-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","13650","21840000","11390","19.8","20502000","6.5","21500","-36.5","36198849","-39.7"
"2018-09-Áß","±ñ¸¶´Ã(¼öÀÔ)","24600","36660000","13390","83.7","24356000","50.5","21197","16.1","35140260","4.3"
"2018-09-»ó","±ñ¸¶´Ã(¼öÀÔ)","22200","31080000","10160","118.5","20320000","53.0","17199","29.1","31932134","-2.7"
"2018-08-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","27200","35380000","12560","116.6","22608000","56.5","14992","81.4","29291134","20.8"
"2018-08-Áß","±ñ¸¶´Ã(¼öÀÔ)","22200","26640000","10000","122.0","18000000","48.0","14525","52.8","27482400","-3.1"
"2018-08-»ó","±ñ¸¶´Ã(¼öÀÔ)","21800","26160000","10000","118.0","18000000","45.3","14055","55.1","27628116","-5.3"
"2018-07-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","25100","30120000","11250","123.1","36450000","-17.4","16997","47.7","39224949","-23.2"
"2018-07-Áß","±ñ¸¶´Ã(¼öÀÔ)","24700","29640000","11250","119.6","36450000","-18.7","16161","52.8","32651067","-9.2"
"2018-07-»ó","±ñ¸¶´Ã(¼öÀÔ)","22000","27480000","10540","108.7","34807000","-21.1","22995","-4.3","65639112","-58.1"
"2018-06-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","22900","32060000","12410","84.5","40385000","-20.6","32275","-29.0","83508518","-61.6"
"2018-06-Áß","±ñ¸¶´Ã(¼öÀÔ)","23200","32480000","10900","112.8","36980000","-12.2","30336","-23.5","68060984","-52.3"
"2018-06-»ó","±ñ¸¶´Ã(¼öÀÔ)","20400","28560000","13300","53.4","47405000","-39.8","27510","-25.8","59474666","-52.0"
"2018-05-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","25800","36120000","15300","68.6","61410000","-41.2","30485","-15.4","73604734","-50.9"
"2018-05-Áß","±ñ¸¶´Ã(¼öÀÔ)","20400","29060000","16520","23.5","68760000","-57.7","26645","-23.4","67785899","-57.1"
"2018-05-»ó","±ñ¸¶´Ã(¼öÀÔ)","22900","34350000","17860","28.2","77510000","-55.7","28750","-20.3","78770550","-56.4"
"2018-04-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","20600","30900000","15120","36.2","63875000","-51.6","30323","-32.1","81375501","-62.0"
"2018-04-Áß","±ñ¸¶´Ã(¼öÀÔ)","22000","35480000","19180","14.7","82380000","-56.9","29397","-25.2","78769333","-55.0"
"2018-04-»ó","±ñ¸¶´Ã(¼öÀÔ)","19900","33830000","18480","7.7","81760000","-58.6","27879","-28.6","68325433","-50.5"
"2018-03-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","24300","41310000","13400","81.3","50467000","-18.1","24230","0.3","43655099","-5.4"
"2018-03-Áß","±ñ¸¶´Ã(¼öÀÔ)","19700","33490000","19480","1.1","87155000","-61.6","26384","-25.3","58389534","-42.6"
"2018-03-»ó","±ñ¸¶´Ã(¼öÀÔ)","21600","36720000","24140","-10.5","112092000","-67.2","27675","-22.0","63864632","-42.5"
"2018-02-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","16500","28050000","26786","-38.4","122088746","-77.0","25326","-34.8","59423116","-52.8"
"2018-02-Áß","±ñ¸¶´Ã(¼öÀÔ)","14300","24310000","19200","-25.5","87019000","-72.1","27647","-48.3","63659148","-61.8"
"2018-02-»ó","±ñ¸¶´Ã(¼öÀÔ)","18400","31280000","19300","-4.7","86166000","-63.7","25060","-26.6","53642575","-41.7"
"2018-01-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","18800","31960000","13300","41.4","61410000","-48.0","31818","-40.9","74731753","-57.2"
"2018-01-Áß","±ñ¸¶´Ã(¼öÀÔ)","18400","31280000","28906","-36.3","130108746","-76.0","32433","-43.3","79662048","-60.7"
"2018-01-»ó","±ñ¸¶´Ã(¼öÀÔ)","14730","25041000","14960","-1.5","66745000","-62.5","30265","-51.3","76387250","-67.2"
