"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®","±Ý¾×","Àü³â ¹ÝÀÔ·®","Àü³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Àü³â ±Ý¾×","Àü³â ±Ý¾× Áõ°¨·ü(%)","Æò³â ¹ÝÀÔ·®","Æò³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Æò³â ±Ý¾×","Æò³â ±Ý¾× Áõ°¨·ü(%)"
"2023-08-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","5440","13056000","7020","-22.5","20840000","-37.4","15046","-63.8","32144262","-59.4"
"2023-08-Áß","±ñ¸¶´Ã(¼öÀÔ)","5220","12528000","14060","-62.9","78704000","-84.1","17731","-70.6","35799667","-65.0"
"2023-08-»ó","±ñ¸¶´Ã(¼öÀÔ)","5290","12696000","10540","-49.8","49568000","-74.4","15025","-64.8","31509073","-59.7"
"2023-07-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","5760","13824000","16230","-64.5","103920000","-86.7","19514","-70.5","35290733","-60.8"
"2023-07-Áß","±ñ¸¶´Ã(¼öÀÔ)","10350","22770000","21940","-52.8","140672000","-83.8","21022","-50.8","33243533","-31.5"
"2023-07-»ó","±ñ¸¶´Ã(¼öÀÔ)","5800","12760000","10580","-45.2","57662000","-77.9","14093","-58.8","27600282","-53.8"
"2023-06-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","5400","11880000","920","487.0","2024000","487.0","14666","-63.2","25025517","-52.5"
"2023-06-Áß","±ñ¸¶´Ã(¼öÀÔ)","5800","12720000","2430","138.7","12696000","0.2","14729","-60.6","31668550","-59.8"
"2023-06-»ó","±ñ¸¶´Ã(¼öÀÔ)","5410","11361000","16020","-66.2","93799000","-87.9","20413","-73.5","37678000","-69.8"
"2023-05-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","3780","7938000","18570","-79.6","103232000","-92.3","22495","-83.2","40752220","-80.5"
"2023-05-Áß","±ñ¸¶´Ã(¼öÀÔ)","5450","11445000","18360","-70.3","110983000","-89.7","18454","-70.5","38049000","-69.9"
"2023-05-»ó","±ñ¸¶´Ã(¼öÀÔ)","5790","12159000","23750","-75.6","125613000","-90.3","22050","-73.7","38812500","-68.7"
"2023-04-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","430","903000","20760","-97.9","101776000","-99.1","20011","-97.9","32155700","-97.2"
"2023-04-Áß","±ñ¸¶´Ã(¼öÀÔ)","1380","4898000","27160","-94.9","106100000","-95.4","18893","-92.7","31531713","-84.5"
"2023-04-»ó","±ñ¸¶´Ã(¼öÀÔ)","15660","74445000","14370","9.0","52287000","42.4","17804","-12.0","31218507","138.5"
"2023-03-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","17150","106526000","11370","50.8","38148000","179.2","22459","-23.6","43291182","146.1"
"2023-03-Áß","±ñ¸¶´Ã(¼öÀÔ)","10630","62123000","5890","80.5","15076000","312.1","22170","-52.1","37490684","65.7"
"2023-03-»ó","±ñ¸¶´Ã(¼öÀÔ)","23930","121057000","2180","997.7","7645000","1483.5","20900","14.5","38835650","211.7"
"2023-02-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","22980","115287000","6490","254.1","21076000","447.0","18515","24.1","31055567","271.2"
"2023-02-Áß","±ñ¸¶´Ã(¼öÀÔ)","24840","125020000","1950","1173.8","7530000","1560.3","20595","20.6","36327617","244.1"
"2023-02-»ó","±ñ¸¶´Ã(¼öÀÔ)","30100","163675000","1390","2065.5","4596000","3461.2","23061","30.5","38663862","323.3"
"2023-01-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","18480","94763000","2230","728.7","8742000","984.0","22359","-17.3","41378700","129.0"
"2023-01-Áß","±ñ¸¶´Ã(¼öÀÔ)","31360","171715000","10080","211.1","35052000","389.9","20022","56.6","38515101","345.8"
"2023-01-»ó","±ñ¸¶´Ã(¼öÀÔ)","19030","106044000","3220","491.0","13713000","673.3","19663","-3.2","36804093","188.1"
"2022-12-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","30270","167820000","1670","1712.6","7024000","2289.2","18365","64.8","34117247","391.9"
"2022-12-Áß","±ñ¸¶´Ã(¼öÀÔ)","16490","91525000","4890","237.2","14588000","527.4","17708","-6.9","36484750","150.9"
"2022-12-»ó","±ñ¸¶´Ã(¼öÀÔ)","22880","109302000","570","3914.0","1746000","6160.1","14438","58.5","30344619","260.2"
"2022-11-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","20060","110168000","1010","1886.1","2326000","4636.4","18265","9.8","32534488","238.6"
"2022-11-Áß","±ñ¸¶´Ã(¼öÀÔ)","25170","140893000","570","4315.8","1254000","11135.5","18169","38.5","32460451","334.0"
"2022-11-»ó","±ñ¸¶´Ã(¼öÀÔ)","28810","164142000","1150","2405.2","2530000","6387.8","17900","60.9","32164634","410.3"
"2022-10-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","27980","158324000","730","3732.9","1533000","10227.7","20556","36.1","38165450","314.8"
"2022-10-Áß","±ñ¸¶´Ã(¼öÀÔ)","24770","123051000","1210","1947.1","2541000","4742.6","16137","53.5","30818797","299.3"
"2022-10-»ó","±ñ¸¶´Ã(¼öÀÔ)","14530","78875000","630","2206.3","1323000","5861.8","13965","4.0","25498091","209.3"
"2022-09-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","15800","72845000","860","1737.2","1806000","3933.5","15344","3.0","27892608","161.2"
"2022-09-Áß","±ñ¸¶´Ã(¼öÀÔ)","18520","59545000","610","2936.1","1281000","4548.3","17246","7.4","30869534","92.9"
"2022-09-»ó","±ñ¸¶´Ã(¼öÀÔ)","5680","30910000","1060","435.8","2226000","1288.6","14127","-59.8","26363566","17.2"
"2022-08-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","7020","20840000","300","2240.0","630000","3207.9","15205","-53.8","26717267","-22.0"
"2022-08-Áß","±ñ¸¶´Ã(¼öÀÔ)","14060","78704000","300","4586.7","630000","12392.7","15741","-10.7","27533517","185.8"
"2022-08-»ó","±ñ¸¶´Ã(¼öÀÔ)","10540","49568000","2550","313.3","5355000","825.6","14954","-29.5","26725860","85.5"
"2022-07-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","16230","103920000","600","2605.0","1260000","8147.6","17228","-5.8","34837233","198.3"
"2022-07-Áß","±ñ¸¶´Ã(¼öÀÔ)","21940","140672000","300","7213.3","630000","22228.9","15698","39.8","33243533","323.2"
"2022-07-»ó","±ñ¸¶´Ã(¼öÀÔ)","10580","57662000","300","3426.7","630000","9052.7","13640","-22.4","28885532","99.6"
"2022-06-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","920","2024000","2600","-64.6","5460000","-62.9","17932","-94.9","36215033","-94.4"
"2022-06-Áß","±ñ¸¶´Ã(¼öÀÔ)","2430","12696000","300","710.0","630000","1915.2","17500","-86.1","37595500","-66.2"
"2022-06-»ó","±ñ¸¶´Ã(¼öÀÔ)","16020","93799000","300","5240.0","630000","14788.7","18237","-12.2","37678000","148.9"
"2022-05-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","18570","103232000","7100","161.5","14910000","592.4","21626","-14.1","40752220","153.3"
"2022-05-Áß","±ñ¸¶´Ã(¼öÀÔ)","18360","110983000","300","6020.0","630000","17516.3","17802","3.1","38049000","191.7"
"2022-05-»ó","±ñ¸¶´Ã(¼öÀÔ)","23750","125613000","2600","813.5","5460000","2200.6","19515","21.7","38812500","223.6"
"2022-04-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","20760","101776000","600","3360.0","630000","16054.9","17556","18.3","24633700","313.2"
"2022-04-Áß","±ñ¸¶´Ã(¼öÀÔ)","27160","106100000","2300","1080.9",,"0.0","18390","47.7",,"0.0"
