"∞≈∑°¿œ¿⁄","«∞∏Ò∏Ì","π›¿‘∑Æ","±›æ◊","¿¸≥‚ π›¿‘∑Æ","¿¸≥‚ π›¿‘∑Æ ¡ı∞®∑¸(%)","¿¸≥‚ ±›æ◊","¿¸≥‚ ±›æ◊ ¡ı∞®∑¸(%)","∆Ú≥‚ π›¿‘∑Æ","∆Ú≥‚ π›¿‘∑Æ ¡ı∞®∑¸(%)","∆Ú≥‚ ±›æ◊","∆Ú≥‚ ±›æ◊ ¡ı∞®∑¸(%)"
"2019-08-ªÛ","Ω”πË√ﬂ","868193","1349031500","534315","62.5","1520133800","-11.3","714603","21.5","1449002756","-6.9"
"2019-07-«œ","Ω”πË√ﬂ","883050","863006100","609729","44.8","1445829700","-40.3","856204","3.1","1482355400","-41.8"
"2019-07-¡ﬂ","Ω”πË√ﬂ","872459","968130400","664588","31.3","1201352000","-19.4","817529","6.7","1293402485","-25.1"
"2019-07-ªÛ","Ω”πË√ﬂ","843537","1153974100","629566","34.0","990133750","16.5","867805","-2.8","1121333449","2.9"
"2019-06-«œ","Ω”πË√ﬂ","587101","982493100","779521","-24.7","894703100","9.8","967286","-39.3","1116559006","-12.0"
"2019-06-¡ﬂ","Ω”πË√ﬂ","760848","977445800","831113","-8.5","750181800","30.3","944526","-19.4","1000196124","-2.3"
"2019-06-ªÛ","Ω”πË√ﬂ","702207","978611000","746160","-5.9","670748800","45.9","932831","-24.7","1004568368","-2.6"
"2019-05-«œ","Ω”πË√ﬂ","924996","891413100","981859","-5.8","1187580600","-24.9","988985","-6.5","1268130724","-29.7"
"2019-05-¡ﬂ","Ω”πË√ﬂ","835766","609074800","755000","10.7","808364500","-24.7","973265","-14.1","1143263341","-46.7"
"2019-05-ªÛ","Ω”πË√ﬂ","868028","856911300","780856","11.2","1131163200","-24.2","947139","-8.4","1145534124","-25.2"
"2019-04-«œ","Ω”πË√ﬂ","840322","575701800","609497","37.9","1300069000","-55.7","972645","-13.6","1167224558","-50.7"
"2019-04-¡ﬂ","Ω”πË√ﬂ","791282","867866800","675454","17.1","1435692200","-39.6","908604","-12.9","1308068547","-33.7"
"2019-04-ªÛ","Ω”πË√ﬂ","846597","966350600","679952","24.5","1076618000","-10.2","872578","-3.0","1286625853","-24.9"
"2019-03-«œ","Ω”πË√ﬂ","806714","868740900","912740","-11.6","1449795808","-40.1","907622","-11.1","1557819665","-44.2"
"2019-03-¡ﬂ","Ω”πË√ﬂ","928929","893990500","765941","21.3","1023721813","-12.7","844628","10.0","1216567792","-26.5"
"2019-03-ªÛ","Ω”πË√ﬂ","777568","645781000","872165","-10.8","1111508872","-41.9","954900","-18.6","1208063878","-46.5"
"2019-02-«œ","Ω”πË√ﬂ","713780","592599900","709090","0.7","846988634","-30.0","761823","-6.3","877178197","-32.4"
"2019-02-¡ﬂ","Ω”πË√ﬂ","959459","806875400","862808","11.2","1292060090","-37.6","1059746","-9.5","1247078432","-35.3"
"2019-02-ªÛ","Ω”πË√ﬂ","599498","468280700","962851","-37.7","2214616788","-78.9","1028641","-41.7","1559839623","-70.0"
"2019-01-«œ","Ω”πË√ﬂ","1496573","1149223500","808824","85.0","1075485280","6.9","1084308","38.0","1330436618","-13.6"
"2019-01-¡ﬂ","Ω”πË√ﬂ","874395","692188500","959391","-8.9","1015078647","-31.8","1040793","-16.0","956721915","-27.6"
"2019-01-ªÛ","Ω”πË√ﬂ","865702","849405600","795327","8.8","895478350","-5.1","1122334","-22.9","1219486034","-30.3"
"2018-12-«œ","Ω”πË√ﬂ","937200","755821800","1146364","-18.2","1284364106","-41.2","1086106","-13.7","1305139036","-42.1"
"2018-12-¡ﬂ","Ω”πË√ﬂ","897121","1042181800","819765","9.4","1001522359","4.1","842549","6.5","1004841974","3.7"
"2018-12-ªÛ","Ω”πË√ﬂ","645145","668740200","765505","-15.7","627202695","6.6","977437","-34.0","952544690","-29.8"
"2018-11-«œ","Ω”πË√ﬂ","858523","914481000","1059207","-18.9","1076058986","-15.0","965643","-11.1","965889715","-5.3"
"2018-11-¡ﬂ","Ω”πË√ﬂ","1001706","1028621900","791994","26.5","710211360","44.8","1036535","-3.4","989689760","3.9"
"2018-11-ªÛ","Ω”πË√ﬂ","947650","1209960600","1113267","-14.9","979367385","23.5","1197869","-20.9","1132951916","6.8"
"2018-10-«œ","Ω”πË√ﬂ","985890","1166022400","958096","2.9","963073758","21.1","1173316","-16.0","1140055785","2.3"
"2018-10-¡ﬂ","Ω”πË√ﬂ","913015","1208615900","1048671","-12.9","1075443925","12.4","1125966","-18.9","1084210385","11.5"
"2018-10-ªÛ","Ω”πË√ﬂ","809608","1046847500","575144","40.8","1275294550","-17.9","1042888","-22.4","1289776143","-18.8"
"2018-09-«œ","Ω”πË√ﬂ","604661","1193611800","1152577","-47.5","2141838810","-44.3","1160067","-47.9","1445494939","-17.4"
"2018-09-¡ﬂ","Ω”πË√ﬂ","1079651","2212573900","827400","30.5","1745734689","26.7","995424","8.5","1782754773","24.1"
"2018-09-ªÛ","Ω”πË√ﬂ","632375","1591271600","503155","25.7","1472656850","8.1","804170","-21.4","1869067300","-14.9"
"2018-08-«œ","Ω”πË√ﬂ","459912","1586276400","653760","-29.7","1822071478","-12.9","684946","-32.9","1684801479","-5.8"
"2018-08-¡ﬂ","Ω”πË√ﬂ","454028","1311793900","412798","10.0","1402423813","-6.5","629512","-27.9","1431511717","-8.4"
"2018-08-ªÛ","Ω”πË√ﬂ","534315","1520133800","559749","-4.5","1535117914","-1.0","676863","-21.1","1220157066","24.6"
"2018-07-«œ","Ω”πË√ﬂ","609729","1445829700","691766","-11.9","1414856724","2.2","859649","-29.1","1281146294","12.9"
"2018-07-¡ﬂ","Ω”πË√ﬂ","664588","1201352000","700441","-5.1","1291123094","-7.0","804249","-17.4","1119963095","7.3"
"2018-07-ªÛ","Ω”πË√ﬂ","629566","990133750","783244","-19.6","913169370","8.4","860999","-26.9","1055086229","-6.2"
"2018-06-«œ","Ω”πË√ﬂ","779521","894703100","1036841","-24.8","1048248069","-14.6","945643","-17.6","1108442259","-19.3"
"2018-06-¡ﬂ","Ω”πË√ﬂ","831113","750181800","883502","-5.9","908116880","-17.4","890139","-6.6","1005922564","-25.4"
"2018-06-ªÛ","Ω”πË√ﬂ","746160","670748800","919899","-18.9","957965908","-30.0","866865","-13.9","987816492","-32.1"
"2018-05-«œ","Ω”πË√ﬂ","981859","1187580600","952753","3.1","865519998","37.2","904651","8.5","1081064469","9.9"
"2018-05-¡ﬂ","Ω”πË√ﬂ","755000","808364500","1056187","-28.5","909162120","-11.1","908286","-16.9","1076784567","-24.9"
"2018-05-ªÛ","Ω”πË√ﬂ","780856","1131163200","1015456","-23.1","899639845","25.7","927117","-15.8","1056998473","7.0"
"2018-04-«œ","Ω”πË√ﬂ","609497","1300069000","925564","-34.1","793360052","63.9","968507","-37.1","1041274040","24.9"
"2018-04-¡ﬂ","Ω”πË√ﬂ","675454","1435692200","999807","-32.4","1074241060","33.6","908604","-25.7","1191607701","20.5"
"2018-04-ªÛ","Ω”πË√ﬂ","679952","1076618000","761098","-10.7","1207211530","-10.8","818009","-16.9","1203323185","-10.5"
"2018-03-«œ","Ω”πË√ﬂ","912740","1449795808","741309","23.1","1589321228","-8.8","795154","14.8","1345779452","7.7"
"2018-03-¡ﬂ","Ω”πË√ﬂ","765941","1023721813","631614","21.3","1220076758","-16.1","753450","1.7","1038075145","-1.4"
"2018-03-ªÛ","Ω”πË√ﬂ","872165","1111508872","800490","9.0","1502814125","-26.0","835784","4.4","1050534140","5.8"
"2018-02-«œ","Ω”πË√ﬂ","709090","846988634","579462","22.4","1149357401","-26.3","689545","2.8","746916495","13.4"
"2018-02-¡ﬂ","Ω”πË√ﬂ","862808","1292060090","646211","33.5","1211814135","6.6","900187","-4.2","1097059543","17.8"
"2018-02-ªÛ","Ω”πË√ﬂ","962851","2214616788","756614","27.3","1523355205","45.4","891612","8.0","1256122553","76.3"
"2018-01-«œ","Ω”πË√ﬂ","808824","1075485280","660794","22.4","1403014110","-23.3","961581","-15.9","1169682217","-8.1"
"2018-01-¡ﬂ","Ω”πË√ﬂ","959391","1015078647","906979","5.8","1640019660","-38.1","944493","1.6","817254609","24.2"
"2018-01-ªÛ","Ω”πË√ﬂ","795327","895478350","748874","6.2","1325400019","-32.4","1058877","-24.9","1087927807","-17.7"
